Concept1,Concept2,AdamicAdarScore
C168090291,C177142836,1.7534125834535628
C168090291,C208081375,0.9302691820929028
C168090291,C190269828,1.57314219741231
C168090291,C125112378,2.172835748900171
C168090291,C158448853,3.193009967865935
C168090291,C136197465,2.6663351288518253
C168090291,C2779960059,5.253469068976519
C168090291,C114852677,1.950199328353276
C168090291,C39927690,4.025605114733001
C168090291,C102565666,2.2635809293168005
C168090291,C127413603,1.33934433970672
C168090291,C522805319,1.33934433970672
C168090291,C2780310539,5.253469068976519
C168090291,C181500209,2.4153031561936396
C168090291,C44838205,1.1282254233595155
C168090291,C32546565,1.33934433970672
C168090291,C32270708,1.1786946804913718
C168090291,C182953411,3.8790586863506444
C168090291,C111919701,6.499586958271575
C168090291,C2781089630,2.6409951776423837
C168090291,C2776459999,4.025605114733001
C168090291,C143724316,1.1282254233595155
C168090291,C138268822,2.231257985999077
C168090291,C142724271,1.636384536697721
C168090291,C163716315,1.78556712542488
C168090291,C158456648,2.2168918063641136
C168090291,C68717125,3.3046649482904393
C168090291,C206003972,1.1786946804913718
C168090291,C202444582,1.1285471334488744
C168090291,C59500034,1.8053732635825308
C168090291,C29248071,2.121258443377254
C168090291,C144271403,2.121258443377254
C168090291,C2778184138,1.78556712542488
C168090291,C190463098,5.05023847923623
C168090291,C125411270,4.025605114733001
C168090291,C113603373,0.9302691820929028
C168090291,C94375191,2.742450818183844
C168090291,C205049153,1.1241031191224693
C168090291,C157486923,4.025605114733001
C168090291,C95466800,3.603949880983345
C168090291,C22984246,2.4775355033731
C168090291,C2780586882,3.4530785957819385
C168090291,C195545963,4.025605114733001
C168090291,C153946474,1.33934433970672
C168090291,C169268690,1.57314219741231
C168090291,C187678412,2.6663351288518253
C168090291,C17020691,3.193009967865935
C168090291,C115260700,1.33934433970672
C168090291,C142465778,3.1893696244907277
C168090291,C158622935,1.1285471334488744
C168090291,C32891209,2.037424048969511
C168090291,C86339819,3.193009967865935
C168090291,C547195049,2.2734501145287473
C168090291,C55615164,2.58395648034017
C168090291,C2524010,1.7534125834535628
C168090291,C118552586,1.33934433970672
C168090291,C2780801425,1.7534125834535628
C168090291,C151730666,1.1282254233595155
C168090291,C113775141,1.80977478185747
C168090291,C33332235,3.3759368349542633
C168090291,C184551789,1.950199328353276
C168090291,C131017901,2.9147619667513087
C168090291,C78902741,1.33934433970672
C168090291,C2778870898,1.1786946804913718
C168090291,C49040817,1.970409625721426
C168090291,C91717678,4.976066935584977
C168090291,C556910895,1.33934433970672
C168090291,C179061269,2.121258443377254
C168090291,C80444323,6.616493547317841
C168090291,C154255573,3.351202579331045
C168090291,C41895202,5.4977084056524905
C168090291,C120665830,3.5214622224876
C168090291,C18762648,0.9247919320799659
C168090291,C181543814,1.950199328353276
C168090291,C159149176,2.2734501145287473
C168090291,C152026323,1.78556712542488
C168090291,C2776760102,3.193009967865935
C168090291,C26517878,3.3693556752617346
C168090291,C98045186,2.579460745034112
C168090291,C71191651,1.7626037882572856
C168090291,C2777288060,1.3497951405712132
C168090291,C46141821,1.33934433970672
C168090291,C19271316,3.3165773559711775
C168090291,C78336883,1.636384536697721
C168090291,C103088060,3.193009967865935
C168090291,C45374587,3.518152731556267
C168090291,C21200559,1.33934433970672
C168090291,C28855332,1.7534125834535628
C168090291,C32022120,3.1796317437620316
C168090291,C104434177,2.6218748271900116
C168090291,C58053490,7.035760278882082
C168090291,C124148022,4.863497516338853
C168090291,C71924100,1.636384536697721
C168090291,C24326235,1.33934433970672
C168090291,C177148314,1.8033474622461687
C168090291,C2780009758,3.193009967865935
C168090291,C27753989,3.9782001942230325
C168090291,C155675718,2.2246073988808956
C168090291,C33980943,0.9302691820929028
C168090291,C194975256,2.58395648034017
C168090291,C192122513,1.841797725446519
C168090291,C9652623,1.1285471334488744
C168090291,C44280652,2.149510515395779
C168090291,C159317903,5.6035893490335695
C168090291,C62611344,2.420497936366847
C168090291,C18480692,0.9302691820929028
C168090291,C62641251,2.2734501145287473
C168090291,C24890656,1.636384536697721
C168090291,C74939445,2.889420676040853
C168090291,C95013731,2.037424048969511
C168090291,C67820243,2.0173023835023063
C168090291,C2781181686,4.387927589767581
C168090291,C147323434,1.7534125834535628
C168090291,C15744967,1.33934433970672
C168090291,C163173736,1.78556712542488
C168090291,C2778204307,1.57314219741231
C168090291,C15706264,2.6283037738309876
C168090291,C55493867,3.193009967865935
C168090291,C31402856,2.121258443377254
C168090291,C15190523,2.121258443377254
C168090291,C91275184,0.9247919320799659
C168090291,C2776029896,1.33934433970672
C168090291,C118704821,2.720926690220727
C168090291,C104317684,3.193009967865935
C168090291,C173608175,1.80977478185747
C168090291,C77088390,3.193009967865935
C168090291,C185592680,3.392321154908439
C168090291,C26873012,1.1786946804913718
