Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,2.000638579143452
C168090291,C190269828,1.9860164791942587
C168090291,C115051666,1.2394360470295307
C168090291,C93038891,1.6770305267595325
C168090291,C199185054,2.5188701140034824
C168090291,C136197465,2.429205091363964
C168090291,C114852677,1.7311323665244855
C168090291,C185544564,2.7711204488839307
C168090291,C522805319,1.2322407996005706
C168090291,C127413603,5.9361888158873315
C168090291,C2780310539,4.808628329663002
C168090291,C44838205,1.0474811032970952
C168090291,C32546565,1.2322407996005706
C168090291,C171250308,2.6457361490108178
C168090291,C120314980,1.2516527464794676
C168090291,C32270708,2.43465478002679
C168090291,C111919701,6.180606830675204
C168090291,C66601787,1.423518456672626
C168090291,C182953411,4.028524185846274
C168090291,C2776459999,3.724302645408487
C168090291,C71987851,1.052571118630344
C168090291,C143724316,1.0474811032970952
C168090291,C97355855,3.9069215313183614
C168090291,C147120987,1.6210135774880496
C168090291,C158456648,4.031249727994425
C168090291,C198377831,2.2782900532573236
C168090291,C74214498,1.4218005354392793
C168090291,C206003972,1.6589237457063688
C168090291,C114671716,1.8148809140417128
C168090291,C202444582,3.144291609783749
C168090291,C144271403,1.9682777685150938
C168090291,C29248071,1.9682777685150938
C168090291,C195766429,3.877872545922917
C168090291,C62850752,0.8532599315878405
C168090291,C190463098,7.613313127082867
C168090291,C125411270,4.125297547745639
C168090291,C113603373,0.851862634740562
C168090291,C157486923,3.724302645408487
C168090291,C2776257435,2.215111896314348
C168090291,C2780586882,3.4277649355769513
C168090291,C195545963,4.125297547745639
C168090291,C61696701,1.0413242255855377
C168090291,C153946474,1.4429919701014955
C168090291,C169268690,1.4218005354392793
C168090291,C153294291,1.4752478392763864
C168090291,C142465778,2.9168169175781165
C168090291,C85604662,2.1534398942673354
C168090291,C86339819,2.9291259323798666
C168090291,C547195049,2.1106467997317626
C168090291,C55615164,2.3914149596674514
C168090291,C118552586,1.2322407996005706
C168090291,C113775141,3.7045025095644415
C168090291,C151730666,2.0057518458570995
C168090291,C2780801425,1.8780315248556472
C168090291,C33332235,4.588515930275586
C168090291,C155355069,1.0348843740042422
C168090291,C82706917,1.2458806240723304
C168090291,C2778476455,1.0308416029482026
C168090291,C2778870898,3.8974318419398797
C168090291,C78902741,1.2322407996005706
C168090291,C179061269,1.9682777685150938
C168090291,C80444323,6.949960328099816
C168090291,C41895202,5.036188136319712
C168090291,C18762648,0.8532599315878405
C168090291,C9417928,1.472724267693091
C168090291,C159149176,2.1106467997317626
C168090291,C2781402376,1.597225480380045
C168090291,C148730421,1.4077638895350693
C168090291,C204030448,2.046670200084358
C168090291,C26517878,3.531626717160369
C168090291,C21690051,1.2420327094753194
C168090291,C98045186,2.3529643719714803
