Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,1.9869938667136493
C168090291,C107418235,1.5777165603615346
C168090291,C190269828,1.9649774824313324
C168090291,C115051666,1.2285771991085865
C168090291,C93038891,1.66674919554267
C168090291,C199185054,2.502773915050398
C168090291,C136197465,2.413715440148563
C168090291,C114852677,1.7232711891354993
C168090291,C185544564,2.7602778568233424
C168090291,C522805319,1.2211968958986588
C168090291,C127413603,5.906013161551082
C168090291,C2780310539,4.773991289324509
C168090291,C44838205,1.5890461000733986
C168090291,C32546565,1.2211968958986588
C168090291,C171250308,2.6212125240695276
C168090291,C120314980,2.3893563101815976
C168090291,C32270708,2.4130793416541865
C168090291,C111919701,6.133495259905348
C168090291,C66601787,1.4121452662035832
C168090291,C182953411,3.996360569686149
C168090291,C2776459999,3.6908824597203576
C168090291,C71987851,1.0447498650767897
C168090291,C169760540,1.5777165603615346
C168090291,C143724316,1.040856163445669
C168090291,C97355855,3.880960910954272
C168090291,C147120987,1.6061843624474599
C168090291,C158456648,3.975209306448128
C168090291,C198377831,2.2653923639379356
C168090291,C74214498,1.403977021151558
C168090291,C206003972,1.6443642057490306
C168090291,C114671716,1.7970792053748732
C168090291,C202444582,3.1260314408726817
C168090291,C144271403,1.949699635240599
C168090291,C29248071,1.949699635240599
C168090291,C195766429,3.8596123770118504
C168090291,C62850752,0.8459600150425808
C168090291,C190463098,8.045222949414187
C168090291,C125411270,4.0870682063813275
C168090291,C113603373,0.8453252906803519
C168090291,C157486923,3.6908824597203576
C168090291,C2776257435,2.1944279222664913
C168090291,C2780586882,3.377754980511254
C168090291,C195545963,4.0870682063813275
C168090291,C61696701,1.031522907194944
C168090291,C153946474,1.430074540754688
C168090291,C169268690,1.403977021151558
C168090291,C153294291,1.4565048365621558
C168090291,C142465778,2.90038146793122
C168090291,C85604662,2.141792984825786
C168090291,C86339819,2.915907150859868
C168090291,C547195049,2.0894703337391896
C168090291,C55615164,2.3714845071806137
C168090291,C118552586,1.2211968958986588
C168090291,C113775141,3.678198931212011
C168090291,C151730666,1.98412136144402
C168090291,C2780801425,1.8668713247615116
C168090291,C33332235,4.5605083336279355
C168090291,C155355069,1.0277857691003056
C168090291,C82706917,1.237168885077641
C168090291,C2778476455,1.0216958377136964
C168090291,C2778870898,3.8698457346805677
C168090291,C78902741,1.2211968958986588
C168090291,C104114177,1.868189289331832
C168090291,C179061269,1.949699635240599
C168090291,C80444323,6.874317524300128
C168090291,C41895202,5.000294994019265
C168090291,C18762648,0.8459600150425808
C168090291,C9417928,1.4640407464158012
C168090291,C159149176,2.0894703337391896
C168090291,C2781402376,1.5777165603615346
C168090291,C148730421,1.3915189438469424
C168090291,C204030448,2.035847551469117
C168090291,C26517878,4.168146843334683
C168090291,C21690051,1.230947481591382
C168090291,C98045186,2.331504519264069
C168090291,C11577676,2.763463277324745
C168090291,C32848918,3.426091192438294
C168090291,C506630978,2.7602778568233424
C168090291,C2781204021,1.0277857691003056
C168090291,C140058369,1.2671598681404257
C168090291,C46141821,1.2211968958986588
C168090291,C19271316,4.140216796346472
C168090291,C78336883,1.4941086191734443
C168090291,C103088060,3.89901771169781
C168090291,C45374587,5.757914709359539
C168090291,C21200559,4.025270616970234
C168090291,C45206210,1.815062007303489
C168090291,C104434177,3.6968223498170683
C168090291,C106289968,1.8390181479730119
C168090291,C58053490,7.815683018052222
C168090291,C9390403,2.270035538784436
C168090291,C71924100,2.491934686576469
C168090291,C24326235,4.868300094015822
C168090291,C47091857,1.6233396661648967
C168090291,C2780009758,4.646083342293899
C168090291,C63882131,2.048973131123592
C168090291,C27753989,4.7376181740247105
C168090291,C26713055,2.050475855789332
C168090291,C42704618,3.880960910954272
C168090291,C9652623,3.1260314408726817
C168090291,C521332185,1.4565048365621558
C168090291,C159317903,7.143481563623319
C168090291,C89298294,1.3903539326482424
C168090291,C150724011,0.8459600150425808
C168090291,C62611344,2.2223058933242816
C168090291,C18480692,0.8453252906803519
C168090291,C24890656,1.676569097593398
C168090291,C74939445,3.64784957192247
C168090291,C74650414,1.868189289331832
C168090291,C95013731,5.297209992338608
C168090291,C2781181686,5.6608026382874215
C168090291,C67820243,1.8673921106073712
C168090291,C2985428132,1.850267518891954
C168090291,C15706264,5.036641342812859
C168090291,C2778204307,1.403977021151558
C168090291,C99692599,2.2177665070651664
C168090291,C26351279,0.8459600150425808
C168090291,C91275184,0.8459600150425808
C168090291,C163716698,0.8459600150425808
C168090291,C86844869,2.048973131123592
C168090291,C204530211,1.4565048365621558
C168090291,C37589322,1.0815026279566418
C168090291,C68339613,2.4145229309573732
C168090291,C2775929963,1.237168885077641
C168090291,C77088390,5.708969497511458
C168090291,C185592680,4.112162833204411
C168090291,C108225325,1.7852273496057207
C168090291,C178790620,2.222045167983709
C168090291,C2985568454,1.6941415681837673
C168090291,C78203541,2.39344474756123
C168090291,C131671149,1.949699635240599
C168090291,C2777904410,3.043466032476423
C168090291,C177731217,2.6657499064725387
C168090291,C138777275,1.66674919554267
C168090291,C77805123,1.2211968958986588
C168090291,C15336307,1.4941086191734443
C168090291,C72659945,3.3738562806537726
C168090291,C76790566,0.8459600150425808
C168090291,C162967359,2.6025873581994263
C168090291,C119599485,3.416793887111644
C168090291,C109546105,1.0447498650767897
C168090291,C17744445,2.6259493611594125
C168090291,C101645829,2.2799285121006037
C168090291,C48103436,3.6798427530861044
C168090291,C520434653,2.658125326901761
C168090291,C99844830,1.8390181479730119
C168090291,C2987822364,3.960133035033299
C168090291,C206345919,1.6913382228967393
C168090291,C149635348,2.4082024039098
C168090291,C58312451,2.4082024039098
C168090291,C2778496695,1.8668713247615116
C168090291,C207579572,0.8453252906803519
C168090291,C144237770,1.8668713247615116
C168090291,C204787440,2.491934686576469
C168090291,C144901912,5.219540457373967
C168090291,C50820777,2.665542658398523
C168090291,C2779832538,1.4941086191734443
C168090291,C2780385302,1.8411550746222372
C168090291,C134146338,1.032157631557173
C168090291,C203062551,1.3915189438469424
C168090291,C2778361524,4.011332021944204
C168090291,C171811987,1.2325862127501497
C168090291,C117251300,1.4565048365621558
C168090291,C111996192,2.293930516878153
C168090291,C78854221,1.0277857691003056
C168090291,C94915269,4.868300094015822
C168090291,C135402231,1.0277857691003056
C168090291,C122527463,5.570257331387487
C168090291,C29406490,3.3738562806537726
C168090291,C190475519,1.6088586639837308
C168090291,C196597080,2.391959182474674
C168090291,C161166931,3.714565275710947
C168090291,C48983235,1.2177794046369659
C168090291,C2994168587,1.6738969718586092
C168090291,C38652104,4.168146843334683
C168090291,C55795843,2.649117136678984
C168090291,C71799126,2.4130793416541865
C168090291,C136764020,2.048973131123592
C168090291,C179371143,2.415582047235101
C168090291,C169460222,3.4926525977667287
C168090291,C166733315,1.2290529600367064
C168090291,C199539241,2.6259493611594125
C168090291,C69497775,2.425517317249209
C168090291,C207114421,1.4233665015922332
C168090291,C10138342,1.66674919554267
C168090291,C145148216,2.0147539706441275
C168090291,C192061203,2.529031675490525
C168090291,C126255220,2.043127933278487
C168090291,C20593774,5.178616848514463
C168090291,C130787639,2.043127933278487
C168090291,C177142836,1.8668713247615116
C168090291,C208081375,1.2284662492074188
C168090291,C74130334,1.3903539326482424
C168090291,C158448853,2.915907150859868
C168090291,C162324750,1.66674919554267
C168090291,C2779960059,5.025861938076209
C168090291,C39927690,3.6908824597203576
C168090291,C57528182,1.2058971707671495
C168090291,C102565666,2.1060752626984014
C168090291,C124657808,1.5864374995715118
C168090291,C181500209,2.1900983487224877
C168090291,C82217956,1.602766871185767
C168090291,C2781089630,3.879688634216768
C168090291,C138268822,2.1929716208201593
C168090291,C142724271,2.491934686576469
C168090291,C163716315,2.371382283513818
C168090291,C96835668,1.5777165603615346
C168090291,C39432304,1.052095702174074
C168090291,C68717125,4.593854194131166
C168090291,C166834278,0.8459600150425808
C168090291,C59500034,3.115869102860462
C168090291,C2778184138,1.7979237449294279
C168090291,C207999682,1.602766871185767
C168090291,C65574998,1.2671598681404257
C168090291,C94375191,2.525221070863666
C168090291,C205049153,1.0216958377136964
C168090291,C178596936,1.3183727965023286
C168090291,C68481104,1.237168885077641
C168090291,C37914503,1.0277857691003056
C168090291,C95466800,5.064208563455397
C168090291,C22984246,6.111882854811917
C168090291,C159985019,2.186881396897874
C168090291,C17020691,2.915907150859868
C168090291,C187678412,3.73248010709387
C168090291,C132525143,1.4152505765512986
C168090291,C115260700,1.815062007303489
