Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,2.0270805911393275
C168090291,C190269828,2.0244460898067205
C168090291,C115051666,1.257433019429693
C168090291,C93038891,1.715831272831901
C168090291,C199185054,2.5608920234768746
C168090291,C136197465,2.4684695807245927
C168090291,C114852677,1.768985638903175
C168090291,C185544564,2.837911660980132
C168090291,C522805319,1.2527327119620315
C168090291,C127413603,5.841895711809978
C168090291,C2780310539,4.878287619906673
C168090291,C44838205,1.060490915080339
C168090291,C32546565,1.2527327119620315
C168090291,C171250308,1.8685702373258006
C168090291,C120314980,1.2665902066359052
C168090291,C32270708,2.0814123916783913
C168090291,C111919701,6.266405999469416
C168090291,C66601787,1.448588384979314
C168090291,C182953411,4.084401109426858
C168090291,C2776459999,3.7740241961274243
C168090291,C143724316,1.060490915080339
C168090291,C97355855,3.9696040656691087
C168090291,C147120987,1.6549922850021102
C168090291,C158456648,4.085649320751948
C168090291,C198377831,2.3133793306107466
C168090291,C74214498,1.4528935554115348
C168090291,C206003972,1.685462643311516
C168090291,C114671716,1.846202832281195
C168090291,C202444582,1.4318187860754132
C168090291,C144271403,1.9922542678274335
C168090291,C29248071,1.9922542678274335
C168090291,C62850752,0.8664983631301303
C168090291,C190463098,5.382185632920569
C168090291,C125411270,3.7740241961274243
C168090291,C113603373,0.8663646122005666
C168090291,C157486923,3.7740241961274243
C168090291,C2776257435,2.2494922369602506
C168090291,C2780586882,3.464263254698058
C168090291,C195545963,3.7740241961274243
C168090291,C153946474,1.466310664285722
C168090291,C169268690,1.4528935554115348
C168090291,C153294291,1.495154648341491
C168090291,C142465778,2.9617153045180604
C168090291,C85604662,2.195666157234332
C168090291,C86339819,2.9759180470121995
C168090291,C547195049,2.136430018417466
C168090291,C55615164,2.4173291591290376
C168090291,C118552586,1.2527327119620315
C168090291,C113775141,3.160453786837133
C168090291,C151730666,2.0421061630670696
C168090291,C2780801425,1.951687551751494
C168090291,C33332235,3.956193383788073
C168090291,C82706917,1.2654085575004692
C168090291,C2778870898,3.759714735365417
C168090291,C78902741,1.2527327119620315
C168090291,C179061269,1.9922542678274335
C168090291,C80444323,6.810479226411849
C168090291,C41895202,5.108500509961324
C168090291,C18762648,0.8664983631301303
C168090291,C159149176,2.136430018417466
C168090291,C2781402376,1.630250259387407
C168090291,C26517878,3.1401377811784
C168090291,C204030448,2.077949832486929
C168090291,C21690051,1.268757936170209
C168090291,C98045186,2.386202089472612
C168090291,C32848918,3.496548903990344
C168090291,C506630978,2.837911660980132
C168090291,C140058369,1.2907038051349902
C168090291,C46141821,1.2527327119620315
C168090291,C19271316,4.232769136421203
C168090291,C78336883,1.5235562005788688
C168090291,C103088060,2.9759180470121995
C168090291,C45374587,5.89974442703259
C168090291,C21200559,4.13062502612138
C168090291,C45206210,1.670795042349671
C168090291,C104434177,3.383012036946234
C168090291,C58053490,7.500382687758084
C168090291,C9390403,2.3139494172906576
C168090291,C71924100,2.5450637770787896
C168090291,C24326235,5.000960467026104
C168090291,C2780009758,4.751141540271982
C168090291,C27753989,4.852074600675527
C168090291,C26713055,2.102531403986457
C168090291,C42704618,3.9696040656691087
C168090291,C9652623,1.4318187860754132
C168090291,C521332185,1.495154648341491
C168090291,C159317903,6.826427837431709
C168090291,C89298294,1.4318187860754132
C168090291,C150724011,0.8664983631301303
C168090291,C62611344,2.2686855101283054
C168090291,C18480692,0.8663646122005666
C168090291,C24890656,1.5235562005788688
C168090291,C74939445,3.7237070763736515
