Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,1.9646980159571412
C168090291,C107418235,1.5520336773827084
C168090291,C174440990,2.8239767317515616
C168090291,C190269828,2.131728523900559
C168090291,C115051666,1.2113416908646788
C168090291,C93038891,1.6421467558444989
C168090291,C199185054,2.4633424027696265
C168090291,C136197465,2.3747549142697078
C168090291,C106881136,1.0436607144477505
C168090291,C114852677,1.7030080027335566
C168090291,C185544564,2.7238222110881267
C168090291,C522805319,1.2034414456175062
C168090291,C127413603,6.056954734556339
C168090291,C2780310539,4.720943693382896
C168090291,C44838205,1.5670332935147988
C168090291,C125245961,1.2057731960360831
C168090291,C32546565,1.2034414456175062
C168090291,C171250308,2.5837644536907933
C168090291,C120314980,2.3605873720691073
C168090291,C32270708,2.376000883677735
C168090291,C111919701,6.051734836213287
C168090291,C66601787,1.389923747039595
C168090291,C182953411,3.930806497985029
C168090291,C2776459999,3.6469771040309706
C168090291,C71987851,1.028199978785373
C168090291,C169760540,1.5520336773827084
C168090291,C143724316,1.0261426876722406
C168090291,C97355855,3.8258812562597044
C168090291,C147120987,2.3495061199668448
C168090291,C158456648,3.9106044731521874
C168090291,C198377831,2.235031865128107
C168090291,C74214498,1.3803893276455383
C168090291,C206003972,1.6214587692090179
C168090291,C114671716,1.7722180943112118
C168090291,C202444582,3.0846636045000215
C168090291,C144271403,1.9101275591252915
C168090291,C29248071,1.9101275591252915
C168090291,C195766429,3.8131787112976823
C168090291,C62850752,0.833264356159733
C168090291,C190463098,7.946153068861694
C168090291,C125411270,4.034939246136878
C168090291,C113603373,0.8317289057779462
C168090291,C157486923,3.6469771040309706
C168090291,C2776257435,2.1684746805455575
C168090291,C2780586882,3.3496264266353872
C168090291,C195545963,4.034939246136878
C168090291,C61696701,1.012579403030649
C168090291,C153946474,1.409874430585282
C168090291,C169268690,1.3803893276455383
C168090291,C153294291,1.4404067534821623
C168090291,C142465778,2.8500135540065488
C168090291,C85604662,2.117190545127615
C168090291,C86339819,2.8858377388960204
C168090291,C547195049,2.0574735331126677
C168090291,C55615164,2.3325324709015156
C168090291,C118552586,1.2034414456175062
C168090291,C113775141,4.474180895933099
C168090291,C151730666,1.9543167757352773
C168090291,C2780801425,1.8479017353866067
C168090291,C33332235,4.5037842227147955
C168090291,C70747811,1.7843934078834316
C168090291,C155355069,1.0116876860203121
C168090291,C82706917,1.4023278079551318
C168090291,C2778476455,1.0063450373874017
C168090291,C116225407,1.7843934078834316
C168090291,C2778870898,3.809712784421461
C168090291,C78902741,1.2034414456175062
C168090291,C104114177,1.8477786976072323
C168090291,C179061269,1.9101275591252915
C168090291,C80444323,6.788190774360708
C168090291,C41895202,4.936706039474674
C168090291,C18762648,2.2316226208991923
C168090291,C9417928,1.4437647602069585
C168090291,C119857082,1.4690660746168303
C168090291,C159149176,2.0574735331126677
C168090291,C84883863,1.7843934078834316
C168090291,C58801389,1.0436607144477505
C168090291,C124017977,1.0436607144477505
C168090291,C2781402376,1.5520336773827084
C168090291,C148730421,1.3711831801300056
C168090291,C204030448,2.0016060429396494
C168090291,C26517878,4.1219917009552915
C168090291,C21690051,1.9793290305090716
C168090291,C98045186,2.2861910696699166
C168090291,C11577676,2.729196975637863
C168090291,C32848918,3.367671842660596
C168090291,C506630978,2.7238222110881267
C168090291,C2781204021,1.0116876860203121
C168090291,C140058369,1.241905033764019
C168090291,C46141821,1.2034414456175062
C168090291,C19271316,4.069757587207198
C168090291,C182306322,1.0367255592552234
C168090291,C78336883,1.4784170447982325
C168090291,C103088060,4.297268208154411
C168090291,C45374587,5.67501157742277
