Concept1,Concept2,AdamicAdarScore
C168090291,C177142836,1.7525033191540245
C168090291,C208081375,0.9302691820929028
C168090291,C190269828,1.5729271257237083
C168090291,C125112378,2.1719264846006325
C168090291,C158448853,3.192100703566397
C168090291,C136197465,2.662577702515118
C168090291,C2779960059,5.252559804676981
C168090291,C114852677,1.9499842566646741
C168090291,C39927690,4.0253900430444
C168090291,C102565666,2.262886736705864
C168090291,C127413603,1.3391292680181182
C168090291,C522805319,1.3391292680181182
C168090291,C2780310539,5.252559804676981
C168090291,C181500209,2.415088084505038
C168090291,C44838205,1.127531230748579
C168090291,C32546565,1.3391292680181182
C168090291,C32270708,1.1786946804913718
C168090291,C182953411,3.87242506164724
C168090291,C111919701,6.492259140957234
C168090291,C2781089630,2.6407801059537817
C168090291,C2776459999,4.0253900430444
C168090291,C143724316,1.127531230748579
C168090291,C138268822,2.218650559088255
C168090291,C142724271,1.636384536697721
C168090291,C163716315,1.7848729328139434
C168090291,C158456648,2.982407686738525
C168090291,C68717125,3.3044498766018373
C168090291,C206003972,1.1786946804913718
C168090291,C202444582,1.1285471334488744
C168090291,C59500034,2.9813744510519937
C168090291,C29248071,2.117688052399621
C168090291,C144271403,2.117688052399621
C168090291,C2778184138,1.7848729328139434
C168090291,C190463098,5.311784720762398
C168090291,C125411270,4.0253900430444
C168090291,C113603373,0.9302691820929028
C168090291,C94375191,2.7395746198171467
C168090291,C205049153,1.1238880474338675
C168090291,C157486923,4.0253900430444
C168090291,C95466800,3.6030406166838067
C168090291,C22984246,2.4773204316844986
C168090291,C2780586882,3.4521693314824002
C168090291,C195545963,4.0253900430444
C168090291,C153946474,1.3391292680181182
C168090291,C169268690,1.5729271257237083
C168090291,C187678412,2.662577702515118
C168090291,C17020691,3.192100703566397
C168090291,C115260700,1.3391292680181182
C168090291,C142465778,3.1827359997873232
C168090291,C158622935,1.1285471334488744
C168090291,C32891209,2.0250316937472905
C168090291,C86339819,3.192100703566397
C168090291,C547195049,2.2698797235511132
C168090291,C55615164,2.570299526308154
C168090291,C2524010,1.7525033191540245
C168090291,C118552586,1.3391292680181182
C168090291,C2780801425,1.7525033191540245
C168090291,C151730666,1.127531230748579
C168090291,C113775141,1.8060173555207633
C168090291,C33332235,3.363329408043441
C168090291,C184551789,1.9499842566646741
C168090291,C131017901,2.913852702451771
C168090291,C78902741,1.3391292680181182
C168090291,C2778870898,1.1786946804913718
C168090291,C49040817,1.9695003614218876
C168090291,C91717678,4.971615316637333
C168090291,C556910895,1.3391292680181182
C168090291,C179061269,2.117688052399621
C168090291,C80444323,6.843755987221074
C168090291,C154255573,3.3474451529943385
C168090291,C41895202,5.493922942986256
C168090291,C120665830,3.5205529581880617
C168090291,C18762648,0.9245768603913641
C168090291,C181543814,1.9499842566646741
C168090291,C159149176,2.2698797235511132
C168090291,C152026323,1.7848729328139434
C168090291,C2776760102,3.192100703566397
C168090291,C26517878,3.3684464109621963
C168090291,C98045186,2.5728271203307083
C168090291,C71191651,1.7623887165686838
C168090291,C2777288060,1.3495800688826114
C168090291,C46141821,1.3391292680181182
C168090291,C19271316,4.082093236345589
C168090291,C78336883,1.636384536697721
C168090291,C103088060,3.192100703566397
C168090291,C45374587,3.9985000407368165
C168090291,C21200559,1.3391292680181182
C168090291,C28855332,1.7525033191540245
C168090291,C32022120,3.1634539258735757
C168090291,C104434177,2.6209655628904733
C168090291,C58053490,7.003292416613044
C168090291,C124148022,5.090759956242087
C168090291,C71924100,1.636384536697721
C168090291,C24326235,1.3391292680181182
C168090291,C177148314,1.8033474622461687
C168090291,C2780009758,3.192100703566397
C168090291,C27753989,3.9521508849687965
C168090291,C155675718,2.2243923271922936
C168090291,C33980943,0.9302691820929028
C168090291,C194975256,2.570299526308154
C168090291,C192122513,1.838227334468885
C168090291,C9652623,1.1285471334488744
C168090291,C44280652,2.1492954437071776
C168090291,C159317903,5.590287729511811
C168090291,C62611344,2.4202828646782453
C168090291,C18480692,0.9302691820929028
C168090291,C62641251,2.2698797235511132
C168090291,C24890656,1.636384536697721
C168090291,C74939445,2.889205604352251
C168090291,C95013731,2.0250316937472905
C168090291,C67820243,2.0166081908913696
C168090291,C2781181686,4.387233397156645
C168090291,C147323434,1.7525033191540245
C168090291,C15744967,1.3391292680181182
C168090291,C163173736,1.7848729328139434
C168090291,C2778204307,1.5729271257237083
C168090291,C15706264,2.6273945095314493
C168090291,C55493867,3.192100703566397
C168090291,C31402856,2.117688052399621
C168090291,C15190523,2.117688052399621
C168090291,C91275184,0.9245768603913641
C168090291,C2776029896,1.3391292680181182
C168090291,C118704821,2.717384335572622
C168090291,C104317684,3.192100703566397
C168090291,C173608175,1.8060173555207633
C168090291,C77088390,3.192100703566397
C168090291,C185592680,3.3914118906089
C168090291,C26873012,1.1786946804913718
C168090291,C2985568454,1.838227334468885
C168090291,C78203541,2.1719264846006325
C168090291,C5484521,1.3391292680181182
C168090291,C131671149,2.117688052399621
C168090291,C177731217,1.3495800688826114
C168090291,C147789679,1.1238880474338675
C168090291,C183968085,3.4281399958074923
C168090291,C77805123,1.3391292680181182
C168090291,C15336307,1.636384536697721
C168090291,C86803240,1.127531230748579
C168090291,C17744445,2.0166081908913696
C168090291,C48103436,3.5788548707406536
C168090291,C520434653,1.5729271257237083
C168090291,C36503486,2.2698797235511132
C168090291,C177264268,3.649824440644707
C168090291,C2987822364,4.336347969004123
C168090291,C149635348,2.415088084505038
C168090291,C178489894,2.6299569996234937
C168090291,C58312451,2.415088084505038
C168090291,C203103908,2.9305076817971125
C168090291,C2778496695,1.7525033191540245
C168090291,C144237770,1.7525033191540245
C168090291,C207579572,0.9302691820929028
C168090291,C144901912,4.520404764472422
C168090291,C204787440,1.636384536697721
C168090291,C3079626,1.1285471334488744
C168090291,C2779832538,1.636384536697721
C168090291,C23576306,1.9499842566646741
C168090291,C89143813,3.7815331069639813
C168090291,C2778361524,1.9499842566646741
C168090291,C106978608,1.3495800688826114
C168090291,C78854221,1.1285471334488744
C168090291,C168834538,1.636384536697721
C168090291,C94915269,1.636384536697721
C168090291,C135402231,1.1285471334488744
C168090291,C77618280,3.1612455136488387
C168090291,C122527463,4.634866734626119
C168090291,C12296473,1.9499842566646741
C168090291,C161166931,2.5728271203307083
C168090291,C190475519,1.8060173555207633
C168090291,C58849907,4.142220459057709
C168090291,C113494165,1.7525033191540245
C168090291,C138622882,1.1238880474338675
C168090291,C38652104,3.3684464109621963
C168090291,C169345407,2.0250316937472905
C168090291,C128108043,2.1719264846006325
C168090291,C71799126,1.1786946804913718
C168090291,C761482,2.8530865309801934
C168090291,C179371143,2.0166081908913696
C168090291,C169460222,3.5896325920399983
C168090291,C199539241,2.0166081908913696
C168090291,C69497775,1.5584108191945552
C168090291,C145148216,0.9245768603913641
C168090291,C126255220,2.0166081908913696
C168090291,C166689943,1.9499842566646741
C168090291,C192061203,2.117688052399621
C168090291,C184779094,1.5729271257237083
C168090291,C20593774,4.25501132730121
C168090291,C130787639,2.0166081908913696
C208081375,C177142836,0.7309579950503994
C208081375,C125112378,1.1418024935850795
C208081375,C190269828,0.9302691820929028
C208081375,C158448853,0.7309579950503994
C208081375,C136197465,1.1418024935850795
C208081375,C2779960059,0.9302691820929028
C208081375,C114852677,0.7309579950503994
C208081375,C39927690,0.9302691820929028
C208081375,C101973423,0.9302691820929028
C208081375,C199360897,1.1418024935850795
C208081375,C102565666,0.9424913065425763
C208081375,C154945302,1.1418024935850795
C208081375,C127413603,0.7309579950503994
C208081375,C522805319,0.7309579950503994
C208081375,C31258907,1.1418024935850795
C208081375,C41241483,1.1418024935850795
C208081375,C2780310539,0.9302691820929028
C208081375,C181500209,0.9302691820929028
C208081375,C44838205,0.9424913065425763
C208081375,C32546565,0.7309579950503994
C208081375,C139356082,0.9302691820929028
C208081375,C121864883,1.1418024935850795
C208081375,C32270708,0.9302691820929028
C208081375,C182953411,1.4167100713275733
C208081375,C111919701,1.4167100713275733
C208081375,C2781089630,0.9302691820929028
C208081375,C77553402,0.9302691820929028
C208081375,C2776459999,0.9302691820929028
C208081375,C143724316,0.9424913065425763
C208081375,C138268822,0.9302691820929028
C208081375,C142724271,0.9302691820929028
C208081375,C163716315,0.9302691820929028
C208081375,C64775481,0.9302691820929028
C208081375,C158456648,1.1418024935850795
C208081375,C68717125,1.4167100713275733
C208081375,C206003972,0.9302691820929028
C208081375,C51003876,1.4167100713275733
C208081375,C202444582,0.9302691820929028
C208081375,C59500034,0.9424913065425763
C208081375,C29248071,0.9424913065425763
C208081375,C144271403,0.9424913065425763
C208081375,C184720557,1.4167100713275733
C208081375,C2778184138,0.9302691820929028
C208081375,C190463098,1.4167100713275733
C208081375,C125411270,0.9302691820929028
C208081375,C94375191,0.9424913065425763
C208081375,C205049153,0.9302691820929028
C208081375,C157486923,0.9302691820929028
C208081375,C190474826,1.4167100713275733
C208081375,C95466800,1.1418024935850795
C208081375,C22984246,1.1418024935850795
C208081375,C2780586882,0.7309579950503994
C208081375,C195545963,0.9302691820929028
C208081375,C153946474,0.7309579950503994
C208081375,C169268690,0.9302691820929028
C208081375,C187678412,1.1418024935850795
