Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,1.9908853033863485
C168090291,C190269828,1.9700155217716737
C168090291,C115051666,1.230763979559804
C168090291,C93038891,1.6687044253720573
C168090291,C199185054,2.5073441112588437
C168090291,C136197465,2.4178801750798833
C168090291,C114852677,1.7250725836838754
C168090291,C185544564,2.7622330866527287
C168090291,C522805319,1.2233836763498762
C168090291,C127413603,5.912856002619809
C168090291,C2780310539,4.779326315300395
C168090291,C44838205,1.5933457000788669
C168090291,C32546565,1.2233836763498762
C168090291,C171250308,2.626771900418163
C168090291,C120314980,2.393655910187066
C168090291,C32270708,2.418638718002822
C168090291,C111919701,6.14096058419583
C168090291,C66601787,1.4151811775861793
C168090291,C182953411,4.003577855226959
C168090291,C2776459999,3.6959694469465703
C168090291,C71987851,1.0470725966334606
C168090291,C143724316,1.0426382405233394
C168090291,C97355855,3.8878037520229993
C168090291,C147120987,1.6098789579915183
C168090291,C158456648,3.981231041435424
C168090291,C198377831,2.2685216728988373
C168090291,C74214498,1.408629674589058
C168090291,C206003972,1.6480303811019843
C168090291,C114671716,1.8026875296093807
C168090291,C202444582,3.1296258909098364
C168090291,C144271403,1.9530906736245721
C168090291,C29248071,1.9530906736245721
C168090291,C195766429,3.8632068270490043
C168090291,C62850752,0.8477614095909572
C168090291,C190463098,8.05268827370467
C168090291,C125411270,4.093141671692087
C168090291,C113603373,0.8468951346068976
C168090291,C157486923,3.6959694469465703
C168090291,C2776257435,2.199514909492704
C168090291,C2780586882,3.3817465626908567
C168090291,C195545963,4.093141671692087
C168090291,C61696701,1.0340792292060363
C168090291,C153946474,1.4322613212059054
C168090291,C169268690,1.408629674589058
C168090291,C153294291,1.4580746804887015
C168090291,C142465778,2.9046985466970345
C168090291,C85604662,2.143748214655173
C168090291,C86339819,2.918341970060759
C168090291,C547195049,2.0918748940386154
C168090291,C55615164,2.374905804466051
C168090291,C118552586,1.2233836763498762
C168090291,C113775141,3.684628829532076
C168090291,C151730666,1.9894074395340349
C168090291,C2780801425,1.8693061439624028
C168090291,C33332235,4.567973657918418
C168090291,C155355069,1.0293556130268513
C168090291,C82706917,1.2391241149070278
C168090291,C2778476455,1.023918423763463
C168090291,C2778870898,3.8764405369996218
C168090291,C78902741,1.2233836763498762
C168090291,C104114177,1.8707972612844395
C168090291,C179061269,1.9530906736245721
C168090291,C80444323,6.88178284859061
C168090291,C41895202,5.006252503216907
C168090291,C18762648,0.8477614095909572
C168090291,C9417928,1.4658228234934716
C168090291,C159149176,2.0918748940386154
C168090291,C2781402376,1.582754599701876
C168090291,C148730421,1.3955705051027372
C168090291,C204030448,2.0393595442772168
C168090291,C26517878,4.174468347395116
C168090291,C21690051,1.2342566912325992
C168090291,C98045186,2.335821598029883
C168090291,C11577676,2.7654185071541315
C168090291,C32848918,3.429922739794362
C168090291,C506630978,2.7622330866527287
C168090291,C2781204021,1.0293556130268513
C168090291,C140058369,1.2695644284398517
C168090291,C46141821,1.2233836763498762
C168090291,C19271316,4.147682120636954
C168090291,C78336883,1.4960638490028315
C168090291,C103088060,3.7061364229753724
C168090291,C45374587,5.764344607679603
C168090291,C21200559,4.028399925931136
C168090291,C45206210,1.8187566028475475
C168090291,C104434177,3.703665190885795
C168090291,C106289968,1.8427127435170705
C168090291,C58053490,7.823148342342705
C168090291,C9390403,2.2725121056221176
C168090291,C71924100,2.4956457702483705
C168090291,C24326235,4.873859470364458
C168090291,C47091857,1.2232296108059664
C168090291,C2780009758,4.6494606900044735
C168090291,C63882131,2.0540111704639332
C168090291,C27753989,4.741981999819832
C168090291,C26713055,2.0547929345551466
C168090291,C42704618,3.8878037520229993
C168090291,C9652623,3.1296258909098364
C168090291,C521332185,1.4580746804887015
C168090291,C159317903,7.150324404692045
C168090291,C89298294,1.3935629967825554
C168090291,C150724011,0.8477614095909572
C168090291,C62611344,2.2259492912473076
C168090291,C18480692,0.8468951346068976
C168090291,C24890656,1.6785243274227852
C168090291,C74939445,3.654692412991197
C168090291,C74650414,1.8707972612844395
C168090291,C95013731,5.303804794657662
C168090291,C2781181686,5.667645479356148
C168090291,C67820243,1.8691741876850414
C168090291,C2985428132,1.853396827852856
C168090291,C15706264,5.0441066671033425
C168090291,C2778204307,1.408629674589058
C168090291,C99692599,2.2212295519873946
C168090291,C26351279,0.8477614095909572
C168090291,C91275184,0.8477614095909572
C168090291,C163716698,0.8477614095909572
C168090291,C86844869,2.0540111704639332
C168090291,C204530211,1.4580746804887015
C168090291,C37589322,1.0830724718831874
C168090291,C68339613,2.4188867567524954
C168090291,C2775929963,1.2391241149070278
C168090291,C77088390,5.71333332330658
C168090291,C185592680,4.117562084969951
C168090291,C108225325,1.790401340051515
C168090291,C178790620,2.2265436388763553
C168090291,C2985568454,1.696546128483193
C168090291,C78203541,2.398779773537116
C168090291,C131671149,1.9530906736245721
C168090291,C2777904410,3.0490254088250586
C168090291,C177731217,2.6707879458128803
C168090291,C138777275,1.6687044253720573
C168090291,C77805123,1.2233836763498762
C168090291,C15336307,1.4960638490028315
C168090291,C72659945,3.3763328474914545
C168090291,C76790566,0.8477614095909572
