concept_id,level
https://openalex.org/C2777708103,3
https://openalex.org/C57177791,2
https://openalex.org/C138631740,2
https://openalex.org/C2778626561,4
https://openalex.org/C132161212,4
https://openalex.org/C2776422217,3
https://openalex.org/C128228380,3
https://openalex.org/C158525013,2
https://openalex.org/C43521106,2
https://openalex.org/C2776542497,2
https://openalex.org/C16281581,2
https://openalex.org/C35908053,3
https://openalex.org/C2775941721,2
https://openalex.org/C19527891,1
https://openalex.org/C2776582896,4
https://openalex.org/C16876290,3
https://openalex.org/C92381491,3
https://openalex.org/C15341905,2
https://openalex.org/C2780513914,2
https://openalex.org/C168021876,3
https://openalex.org/C202100949,3
https://openalex.org/C83677490,5
https://openalex.org/C115961682,2
https://openalex.org/C80587232,2
https://openalex.org/C2780990831,2
https://openalex.org/C2776394503,3
https://openalex.org/C2779145032,2
https://openalex.org/C186594467,2
https://openalex.org/C140479938,2
https://openalex.org/C65236422,2
https://openalex.org/C19610462,2
https://openalex.org/C159176650,2
https://openalex.org/C177148314,2
https://openalex.org/C47559304,2
https://openalex.org/C55795843,5
https://openalex.org/C509619924,2
https://openalex.org/C158379750,2
https://openalex.org/C34445779,3
https://openalex.org/C57869625,3
https://openalex.org/C25797200,3
https://openalex.org/C104047586,4
https://openalex.org/C105295557,5
https://openalex.org/C115051666,2
https://openalex.org/C158518442,4
https://openalex.org/C2776128791,2
https://openalex.org/C2778790127,2
https://openalex.org/C170563983,5
https://openalex.org/C67757890,5
https://openalex.org/C175444787,1
https://openalex.org/C49811471,4
https://openalex.org/C200640490,3
https://openalex.org/C40687702,3
https://openalex.org/C172367668,3
https://openalex.org/C124668440,5
https://openalex.org/C5722023,3
https://openalex.org/C190727270,4
https://openalex.org/C117447612,4
https://openalex.org/C72933692,5
https://openalex.org/C125867301,5
https://openalex.org/C117354338,3
https://openalex.org/C136625980,2
https://openalex.org/C2781345722,2
https://openalex.org/C203187862,4
https://openalex.org/C74545648,2
https://openalex.org/C206844423,3
https://openalex.org/C134146338,2
https://openalex.org/C192423722,4
https://openalex.org/C20788544,2
https://openalex.org/C186967261,2
https://openalex.org/C49781872,2
https://openalex.org/C44616089,3
https://openalex.org/C136170076,2
https://openalex.org/C31332276,3
https://openalex.org/C77461463,2
https://openalex.org/C34854456,4
https://openalex.org/C73150493,4
https://openalex.org/C114834414,2
https://openalex.org/C40969351,2
https://openalex.org/C11560541,3
https://openalex.org/C2780980858,2
https://openalex.org/C157899210,3
https://openalex.org/C3792809,4
https://openalex.org/C105605280,3
https://openalex.org/C79794668,2
https://openalex.org/C158802814,4
