source,target,weight,citation_sum_year,citation_sum_year2
quantum_information_science,amplitude_damping_channel,26,56.0,183.0
quantum_channel,amplitude_damping_channel,59,104.0,298.0
quantum_capacity,amplitude_damping_channel,52,104.0,285.0
classical_capacity,amplitude_damping_channel,27,50.0,137.0
quantum_network,amplitude_damping_channel,64,108.0,312.0
quantum_network,bell_state,29,28.0,135.0
quantum_channel,classical_capacity,36,53.0,151.0
quantum_capacity,classical_capacity,35,53.0,150.0
amplitude_damping_channel,classical_capacity,27,50.0,137.0
quantum_network,classical_capacity,36,53.0,151.0
quantum_network,cluster_state,28,39.0,178.0
quantum_metrology,heisenberg_limit,24,44.0,162.0
quantum_network,heisenberg_limit,34,45.0,193.0
squashed_entanglement,multipartite_entanglement,29,30.0,178.0
quantum_network,multipartite_entanglement,29,30.0,178.0
quantum_technology,photon_entanglement,29,55.0,310.0
quantum_sensor,photon_entanglement,43,79.0,360.0
quantum_network,photon_entanglement,74,118.0,570.0
quantum_imaging,photon_entanglement,28,34.0,163.0
quantum_information_science,quantum_capacity,52,90.0,353.0
quantum_discord,quantum_capacity,29,43.0,177.0
quantum_channel,quantum_capacity,86,136.0,436.0
classical_capacity,quantum_capacity,35,53.0,150.0
amplitude_damping_channel,quantum_capacity,52,104.0,285.0
quantum_network,quantum_capacity,105,156.0,511.0
superdense_coding,quantum_channel,38,25.0,86.0
quantum_technology,quantum_channel,25,37.0,226.0
quantum_error_correction,quantum_channel,32,37.0,174.0
teleportation,quantum_channel,42,33.0,131.0
quantum_teleportation,quantum_channel,80,69.0,305.0
quantum_cryptography,quantum_channel,32,12.0,80.0
quantum_information_science,quantum_channel,102,101.0,493.0
quantum_discord,quantum_channel,24,32.0,138.0
quantum_capacity,quantum_channel,86,136.0,436.0
classical_capacity,quantum_channel,36,53.0,151.0
amplitude_damping_channel,quantum_channel,59,104.0,298.0
quantum_network,quantum_channel,222,233.0,985.0
quantum_gate,quantum_circuit,47,104.0,605.0
quantum_network,quantum_circuit,93,268.0,1212.0
quantum_information_science,quantum_cryptography,51,24.0,135.0
quantum_channel,quantum_cryptography,32,12.0,80.0
quantum_network,quantum_cryptography,95,54.0,314.0
quantum_channel,quantum_discord,24,32.0,138.0
quantum_capacity,quantum_discord,29,43.0,177.0
quantum_network,quantum_discord,69,110.0,500.0
quantum_channel,quantum_error_correction,32,37.0,174.0
quantum_technology,quantum_error_correction,35,182.0,865.0
quantum_network,quantum_error_correction,98,239.0,1125.0
quantum_circuit,quantum_gate,47,104.0,605.0
quantum_network,quantum_gate,72,124.0,708.0
quantum_sensor,quantum_imaging,80,108.0,527.0
quantum_technology,quantum_imaging,55,102.0,481.0
quantum_information_science,quantum_imaging,41,103.0,485.0
quantum_network,quantum_imaging,136,173.0,837.0
photon_entanglement,quantum_imaging,28,34.0,163.0
quantum_sensor,quantum_information_science,70,149.0,750.0
quantum_technology,quantum_information_science,77,126.0,671.0
quantum_imaging,quantum_information_science,41,103.0,485.0
quantum_teleportation,quantum_information_science,39,19.0,88.0
quantum_cryptography,quantum_information_science,51,24.0,135.0
quantum_channel,quantum_information_science,102,101.0,493.0
quantum_capacity,quantum_information_science,52,90.0,353.0
amplitude_damping_channel,quantum_information_science,26,56.0,183.0
quantum_network,quantum_information_science,220,298.0,1415.0
quantum_network,quantum_memory,51,17.0,99.0
quantum_technology,quantum_metrology,38,116.0,600.0
quantum_sensor,quantum_metrology,74,163.0,788.0
heisenberg_limit,quantum_metrology,24,44.0,162.0
quantum_network,quantum_metrology,139,251.0,1183.0
superdense_coding,quantum_network,41,25.0,87.0
quantum_simulator,quantum_network,25,19.0,169.0
photon_entanglement,quantum_network,74,118.0,570.0
quantum_imaging,quantum_network,136,173.0,837.0
cluster_state,quantum_network,28,39.0,178.0
teleportation,quantum_network,42,33.0,131.0
w_state,quantum_network,44,49.0,288.0
quantum_cryptography,quantum_network,95,54.0,314.0
quantum_gate,quantum_network,72,124.0,708.0
quantum_phase_estimation_algorithm,quantum_network,30,32.0,135.0
quantum_sensor,quantum_network,306,434.0,2073.0
quantum_metrology,quantum_network,139,251.0,1183.0
heisenberg_limit,quantum_network,34,45.0,193.0
quantum_memory,quantum_network,51,17.0,99.0
squashed_entanglement,quantum_network,34,41.0,245.0
multipartite_entanglement,quantum_network,29,30.0,178.0
quantum_technology,quantum_network,210,414.0,2172.0
quantum_circuit,quantum_network,93,268.0,1212.0
quantum_information_science,quantum_network,220,298.0,1415.0
quantum_discord,quantum_network,69,110.0,500.0
quantum_channel,quantum_network,222,233.0,985.0
quantum_capacity,quantum_network,105,156.0,511.0
classical_capacity,quantum_network,36,53.0,151.0
quantum_error_correction,quantum_network,98,239.0,1125.0
amplitude_damping_channel,quantum_network,64,108.0,312.0
quantum_teleportation,quantum_network,137,108.0,561.0
bell_state,quantum_network,29,28.0,135.0
quantum_network,quantum_phase_estimation_algorithm,30,32.0,135.0
photon_entanglement,quantum_sensor,43,79.0,360.0
quantum_imaging,quantum_sensor,80,108.0,527.0
quantum_information_science,quantum_sensor,70,149.0,750.0
quantum_technology,quantum_sensor,112,183.0,952.0
quantum_metrology,quantum_sensor,74,163.0,788.0
quantum_network,quantum_sensor,306,434.0,2073.0
quantum_network,quantum_simulator,25,19.0,169.0
quantum_channel,quantum_technology,25,37.0,226.0
photon_entanglement,quantum_technology,29,55.0,310.0
quantum_metrology,quantum_technology,38,116.0,600.0
quantum_imaging,quantum_technology,55,102.0,481.0
quantum_information_science,quantum_technology,77,126.0,671.0
quantum_sensor,quantum_technology,112,183.0,952.0
