source,target,weight,citation_sum_year,citation_sum_year2
quantum_capacity,amplitude_damping_channel,40,13.0,72.0
quantum_channel,amplitude_damping_channel,63,30.0,148.0
quantum_network,amplitude_damping_channel,80,51.0,225.0
quantum_teleportation,bell_state,32,26.0,100.0
quantum_network,bell_state,39,38.0,138.0
quantum_network,cluster_state,50,123.0,463.0
quantum_metrology,heisenberg_limit,36,38.0,184.0
quantum_network,heisenberg_limit,45,51.0,217.0
quantum_network,multipartite,53,23.0,90.0
squashed_entanglement,multipartite_entanglement,47,115.0,392.0
quantum_network,multipartite_entanglement,47,115.0,392.0
quantum_network,one-way_quantum_computer,52,37.0,135.0
spontaneous_parametric_down-conversion,photon_entanglement,32,39.0,161.0
quantum_information_science,photon_entanglement,46,67.0,284.0
quantum_sensor,photon_entanglement,67,85.0,370.0
quantum_imaging,photon_entanglement,39,44.0,200.0
quantum_network,photon_entanglement,125,144.0,602.0
amplitude_damping_channel,quantum_capacity,40,13.0,72.0
quantum_information_science,quantum_capacity,46,30.0,109.0
quantum_channel,quantum_capacity,97,47.0,188.0
quantum_discord,quantum_capacity,40,53.0,152.0
quantum_error_correction,quantum_capacity,57,52.0,202.0
quantum_network,quantum_capacity,173,134.0,488.0
teleportation,quantum_channel,79,71.0,323.0
superdense_coding,quantum_channel,59,56.0,266.0
quantum_error_correction,quantum_channel,52,23.0,128.0
quantum_sensor,quantum_channel,68,83.0,375.0
quantum_imaging,quantum_channel,37,43.0,188.0
amplitude_damping_channel,quantum_channel,63,30.0,148.0
quantum_teleportation,quantum_channel,155,132.0,612.0
quantum_technology,quantum_channel,68,58.0,241.0
quantum_cryptography,quantum_channel,46,134.0,428.0
quantum_capacity,quantum_channel,97,47.0,188.0
quantum_information_science,quantum_channel,159,230.0,880.0
quantum_network,quantum_channel,385,357.0,1507.0
quantum_technology,quantum_circuit,42,97.0,460.0
quantum_gate,quantum_circuit,120,167.0,682.0
quantum_error_correction,quantum_circuit,92,149.0,619.0
quantum_network,quantum_circuit,299,339.0,1428.0
quantum_technology,quantum_cryptography,33,23.0,135.0
quantum_information_science,quantum_cryptography,61,150.0,563.0
quantum_channel,quantum_cryptography,46,134.0,428.0
quantum_network,quantum_cryptography,140,202.0,781.0
quantum_technology,quantum_discord,33,23.0,99.0
quantum_sensor,quantum_discord,55,56.0,173.0
quantum_metrology,quantum_discord,47,51.0,176.0
quantum_capacity,quantum_discord,40,53.0,152.0
quantum_network,quantum_discord,118,128.0,420.0
quantum_information_science,quantum_error_correction,33,16.0,73.0
quantum_channel,quantum_error_correction,52,23.0,128.0
quantum_sensor,quantum_error_correction,49,32.0,229.0
quantum_process,quantum_error_correction,32,40.0,159.0
quantum_technology,quantum_error_correction,106,166.0,766.0
quantum_gate,quantum_error_correction,77,151.0,591.0
quantum_circuit,quantum_error_correction,92,149.0,619.0
quantum_capacity,quantum_error_correction,57,52.0,202.0
quantum_network,quantum_error_correction,280,319.0,1428.0
quantum_network,quantum_fourier_transform,48,88.0,300.0
quantum_technology,quantum_gate,41,93.0,422.0
quantum_error_correction,quantum_gate,77,151.0,591.0
quantum_circuit,quantum_gate,120,167.0,682.0
quantum_network,quantum_gate,164,209.0,824.0
quantum_metrology,quantum_imaging,51,102.0,414.0
quantum_channel,quantum_imaging,37,43.0,188.0
quantum_technology,quantum_imaging,115,212.0,990.0
quantum_information_science,quantum_imaging,75,153.0,703.0
quantum_sensor,quantum_imaging,149,229.0,1024.0
photon_entanglement,quantum_imaging,39,44.0,200.0
quantum_network,quantum_imaging,254,316.0,1380.0
quantum_error_correction,quantum_information_science,33,16.0,73.0
quantum_metrology,quantum_information_science,34,75.0,324.0
photon_entanglement,quantum_information_science,46,67.0,284.0
quantum_capacity,quantum_information_science,46,30.0,109.0
quantum_teleportation,quantum_information_science,84,80.0,353.0
quantum_cryptography,quantum_information_science,61,150.0,563.0
quantum_technology,quantum_information_science,166,229.0,1055.0
quantum_sensor,quantum_information_science,135,247.0,1046.0
quantum_imaging,quantum_information_science,75,153.0,703.0
quantum_channel,quantum_information_science,159,230.0,880.0
quantum_network,quantum_information_science,439,579.0,2458.0
quantum_network,quantum_machine_learning,52,42.0,194.0
quantum_network,quantum_memory,55,25.0,85.0
quantum_information_science,quantum_metrology,34,75.0,324.0
quantum_imaging,quantum_metrology,51,102.0,414.0
heisenberg_limit,quantum_metrology,36,38.0,184.0
quantum_discord,quantum_metrology,47,51.0,176.0
quantum_technology,quantum_metrology,84,119.0,548.0
quantum_network,quantum_metrology,283,319.0,1316.0
quantum_sensor,quantum_metrology,145,202.0,824.0
teleportation,quantum_network,79,71.0,323.0
one-way_quantum_computer,quantum_network,52,37.0,135.0
spontaneous_parametric_down-conversion,quantum_network,62,51.0,240.0
superdense_coding,quantum_network,66,62.0,281.0
quantum_nonlocality,quantum_network,47,45.0,176.0
multipartite,quantum_network,53,23.0,90.0
heisenberg_limit,quantum_network,45,51.0,217.0
w_state,quantum_network,62,121.0,445.0
amplitude_damping_channel,quantum_network,80,51.0,225.0
quantum_process,quantum_network,67,98.0,352.0
quantum_metrology,quantum_network,283,319.0,1316.0
quantum_simulator,quantum_network,95,197.0,741.0
quantum_machine_learning,quantum_network,52,42.0,194.0
quantum_teleportation,quantum_network,257,292.0,1209.0
quantum_technology,quantum_network,506,661.0,3122.0
cluster_state,quantum_network,50,123.0,463.0
bell_state,quantum_network,39,38.0,138.0
quantum_cryptography,quantum_network,140,202.0,781.0
quantum_memory,quantum_network,55,25.0,85.0
quantum_gate,quantum_network,164,209.0,824.0
squashed_entanglement,quantum_network,57,132.0,436.0
quantum_sensor,quantum_network,587,623.0,2831.0
quantum_imaging,quantum_network,254,316.0,1380.0
photon_entanglement,quantum_network,125,144.0,602.0
multipartite_entanglement,quantum_network,47,115.0,392.0
quantum_walk,quantum_network,37,16.0,65.0
quantum_sort,quantum_network,49,69.0,242.0
quantum_phase_estimation_algorithm,quantum_network,69,49.0,249.0
quantum_operation,quantum_network,54,45.0,165.0
quantum_fourier_transform,quantum_network,48,88.0,300.0
quantum_error_correction,quantum_network,280,319.0,1428.0
quantum_circuit,quantum_network,299,339.0,1428.0
quantum_capacity,quantum_network,173,134.0,488.0
quantum_information_science,quantum_network,439,579.0,2458.0
quantum_channel,quantum_network,385,357.0,1507.0
quantum_discord,quantum_network,118,128.0,420.0
quantum_network,quantum_nonlocality,47,45.0,176.0
quantum_network,quantum_operation,54,45.0,165.0
quantum_network,quantum_phase_estimation_algorithm,69,49.0,249.0
quantum_error_correction,quantum_process,32,40.0,159.0
quantum_technology,quantum_process,32,40.0,191.0
quantum_network,quantum_process,67,98.0,352.0
quantum_teleportation,quantum_sensor,39,59.0,260.0
quantum_channel,quantum_sensor,68,83.0,375.0
quantum_error_correction,quantum_sensor,49,32.0,229.0
quantum_discord,quantum_sensor,55,56.0,173.0
quantum_metrology,quantum_sensor,145,202.0,824.0
quantum_technology,quantum_sensor,241,362.0,1707.0
quantum_information_science,quantum_sensor,135,247.0,1046.0
quantum_imaging,quantum_sensor,149,229.0,1024.0
photon_entanglement,quantum_sensor,67,85.0,370.0
quantum_network,quantum_sensor,587,623.0,2831.0
quantum_technology,quantum_simulator,48,116.0,445.0
quantum_network,quantum_simulator,95,197.0,741.0
quantum_network,quantum_sort,49,69.0,242.0
quantum_circuit,quantum_technology,42,97.0,460.0
quantum_gate,quantum_technology,41,93.0,422.0
quantum_cryptography,quantum_technology,33,23.0,135.0
quantum_process,quantum_technology,32,40.0,191.0
quantum_discord,quantum_technology,33,23.0,99.0
quantum_teleportation,quantum_technology,56,54.0,198.0
quantum_channel,quantum_technology,68,58.0,241.0
quantum_error_correction,quantum_technology,106,166.0,766.0
quantum_simulator,quantum_technology,48,116.0,445.0
quantum_metrology,quantum_technology,84,119.0,548.0
quantum_sensor,quantum_technology,241,362.0,1707.0
quantum_imaging,quantum_technology,115,212.0,990.0
quantum_information_science,quantum_technology,166,229.0,1055.0
quantum_network,quantum_technology,506,661.0,3122.0
bell_state,quantum_teleportation,32,26.0,100.0
w_state,quantum_teleportation,41,94.0,356.0
teleportation,quantum_teleportation,78,71.0,323.0
quantum_sensor,quantum_teleportation,39,59.0,260.0
superdense_coding,quantum_teleportation,62,61.0,278.0
quantum_technology,quantum_teleportation,56,54.0,198.0
quantum_channel,quantum_teleportation,155,132.0,612.0
quantum_information_science,quantum_teleportation,84,80.0,353.0
quantum_network,quantum_teleportation,257,292.0,1209.0
quantum_network,quantum_walk,37,16.0,65.0
photon_entanglement,spontaneous_parametric_down-conversion,32,39.0,161.0
quantum_network,spontaneous_parametric_down-conversion,62,51.0,240.0
multipartite_entanglement,squashed_entanglement,47,115.0,392.0
quantum_network,squashed_entanglement,57,132.0,436.0
teleportation,superdense_coding,43,49.0,230.0
quantum_channel,superdense_coding,59,56.0,266.0
quantum_teleportation,superdense_coding,62,61.0,278.0
quantum_network,superdense_coding,66,62.0,281.0
quantum_teleportation,teleportation,78,71.0,323.0
superdense_coding,teleportation,43,49.0,230.0
quantum_network,teleportation,79,71.0,323.0
quantum_channel,teleportation,79,71.0,323.0
quantum_teleportation,w_state,41,94.0,356.0
quantum_network,w_state,62,121.0,445.0
