source,target,weight,citation_sum_year,citation_sum_year2
quantum_network,cluster_state,26,55.0,55.0
quantum_network,heisenberg_limit,23,64.0,64.0
quantum_network,one-way_quantum_computer,30,35.0,35.0
quantum_imaging,photon_entanglement,25,41.0,41.0
quantum_sensor,photon_entanglement,28,83.0,83.0
quantum_network,photon_entanglement,65,132.0,132.0
quantum_network,quantum_capacity,31,29.0,29.0
superdense_coding,quantum_channel,64,41.0,41.0
quantum_sensor,quantum_channel,27,21.0,21.0
teleportation,quantum_channel,86,60.0,60.0
quantum_teleportation,quantum_channel,104,75.0,75.0
quantum_information_science,quantum_channel,56,50.0,50.0
quantum_technology,quantum_channel,23,27.0,27.0
quantum_network,quantum_channel,176,148.0,148.0
quantum_gate,quantum_circuit,45,76.0,76.0
quantum_error_correction,quantum_circuit,22,17.0,17.0
quantum_network,quantum_circuit,170,164.0,164.0
quantum_information_science,quantum_cryptography,29,55.0,55.0
quantum_network,quantum_cryptography,75,102.0,102.0
quantum_sensor,quantum_discord,44,44.0,44.0
quantum_metrology,quantum_discord,35,35.0,35.0
quantum_network,quantum_discord,66,60.0,60.0
quantum_technology,quantum_error_correction,28,16.0,16.0
quantum_circuit,quantum_error_correction,22,17.0,17.0
quantum_network,quantum_error_correction,84,62.0,62.0
quantum_circuit,quantum_gate,45,76.0,76.0
quantum_network,quantum_gate,65,88.0,88.0
quantum_information_science,quantum_imaging,31,61.0,61.0
photon_entanglement,quantum_imaging,25,41.0,41.0
quantum_metrology,quantum_imaging,29,49.0,49.0
quantum_sensor,quantum_imaging,64,122.0,122.0
quantum_technology,quantum_imaging,50,102.0,102.0
quantum_network,quantum_imaging,143,177.0,177.0
quantum_imaging,quantum_information_science,31,61.0,61.0
quantum_sensor,quantum_information_science,63,180.0,180.0
quantum_teleportation,quantum_information_science,30,65.0,65.0
quantum_channel,quantum_information_science,56,50.0,50.0
quantum_cryptography,quantum_information_science,29,55.0,55.0
quantum_technology,quantum_information_science,78,190.0,190.0
quantum_network,quantum_information_science,185,331.0,331.0
quantum_network,quantum_memory,93,56.0,56.0
quantum_imaging,quantum_metrology,29,49.0,49.0
quantum_sensor,quantum_metrology,93,143.0,143.0
quantum_technology,quantum_metrology,44,97.0,97.0
quantum_discord,quantum_metrology,35,35.0,35.0
quantum_network,quantum_metrology,201,238.0,238.0
squashed_entanglement,quantum_network,22,17.0,17.0
heisenberg_limit,quantum_network,23,64.0,64.0
superdense_coding,quantum_network,69,52.0,52.0
spontaneous_parametric_down-conversion,quantum_network,33,17.0,17.0
photon_entanglement,quantum_network,65,132.0,132.0
w_state,quantum_network,33,29.0,29.0
teleportation,quantum_network,86,60.0,60.0
quantum_teleportation,quantum_network,160,166.0,166.0
one-way_quantum_computer,quantum_network,30,35.0,35.0
cluster_state,quantum_network,26,55.0,55.0
quantum_memory,quantum_network,93,56.0,56.0
quantum_imaging,quantum_network,143,177.0,177.0
quantum_discord,quantum_network,66,60.0,60.0
quantum_metrology,quantum_network,201,238.0,238.0
quantum_channel,quantum_network,176,148.0,148.0
quantum_gate,quantum_network,65,88.0,88.0
quantum_sensor,quantum_network,368,485.0,485.0
quantum_circuit,quantum_network,170,164.0,164.0
quantum_capacity,quantum_network,31,29.0,29.0
quantum_error_correction,quantum_network,84,62.0,62.0
quantum_information_science,quantum_network,185,331.0,331.0
quantum_cryptography,quantum_network,75,102.0,102.0
quantum_technology,quantum_network,196,375.0,375.0
quantum_discord,quantum_sensor,44,44.0,44.0
photon_entanglement,quantum_sensor,28,83.0,83.0
quantum_channel,quantum_sensor,27,21.0,21.0
quantum_metrology,quantum_sensor,93,143.0,143.0
quantum_information_science,quantum_sensor,63,180.0,180.0
quantum_imaging,quantum_sensor,64,122.0,122.0
quantum_technology,quantum_sensor,110,226.0,226.0
quantum_network,quantum_sensor,368,485.0,485.0
quantum_teleportation,quantum_technology,25,62.0,62.0
quantum_error_correction,quantum_technology,28,16.0,16.0
quantum_metrology,quantum_technology,44,97.0,97.0
quantum_imaging,quantum_technology,50,102.0,102.0
quantum_channel,quantum_technology,23,27.0,27.0
quantum_sensor,quantum_technology,110,226.0,226.0
quantum_information_science,quantum_technology,78,190.0,190.0
quantum_network,quantum_technology,196,375.0,375.0
superdense_coding,quantum_teleportation,65,51.0,51.0
quantum_technology,quantum_teleportation,25,62.0,62.0
quantum_channel,quantum_teleportation,104,75.0,75.0
teleportation,quantum_teleportation,84,60.0,60.0
quantum_information_science,quantum_teleportation,30,65.0,65.0
quantum_network,quantum_teleportation,160,166.0,166.0
quantum_network,spontaneous_parametric_down-conversion,33,17.0,17.0
quantum_network,squashed_entanglement,22,17.0,17.0
quantum_channel,superdense_coding,64,41.0,41.0
teleportation,superdense_coding,60,40.0,40.0
quantum_teleportation,superdense_coding,65,51.0,51.0
quantum_network,superdense_coding,69,52.0,52.0
superdense_coding,teleportation,60,40.0,40.0
quantum_channel,teleportation,86,60.0,60.0
quantum_teleportation,teleportation,84,60.0,60.0
quantum_network,teleportation,86,60.0,60.0
quantum_network,w_state,33,29.0,29.0
