source,target,weight,citation_sum_year,citation_sum_year2
quantum_discord,amplitude_damping_channel,33,29.0,96.0
quantum_capacity,amplitude_damping_channel,50,40.0,141.0
quantum_channel,amplitude_damping_channel,61,43.0,142.0
quantum_network,amplitude_damping_channel,71,49.0,174.0
quantum_network,cavity_quantum_electrodynamics,29,78.0,240.0
quantum_capacity,classical_capacity,30,29.0,90.0
quantum_channel,classical_capacity,30,29.0,90.0
quantum_network,classical_capacity,30,29.0,90.0
quantum_sensor,photon_entanglement,29,15.0,72.0
quantum_network,photon_entanglement,49,48.0,176.0
quantum_information_science,quantum_capacity,45,55.0,190.0
quantum_error_correction,quantum_capacity,31,34.0,124.0
classical_capacity,quantum_capacity,30,29.0,90.0
quantum_discord,quantum_capacity,38,28.0,100.0
amplitude_damping_channel,quantum_capacity,50,40.0,141.0
quantum_channel,quantum_capacity,90,86.0,266.0
quantum_network,quantum_capacity,121,113.0,384.0
teleportation,quantum_channel,61,88.0,260.0
quantum_cryptography,quantum_channel,28,25.0,79.0
quantum_error_correction,quantum_channel,28,26.0,96.0
classical_capacity,quantum_channel,30,29.0,90.0
quantum_discord,quantum_channel,37,27.0,98.0
quantum_technology,quantum_channel,33,52.0,185.0
quantum_information_science,quantum_channel,96,109.0,371.0
quantum_capacity,quantum_channel,90,86.0,266.0
amplitude_damping_channel,quantum_channel,61,43.0,142.0
quantum_teleportation,quantum_channel,109,134.0,423.0
superdense_coding,quantum_channel,47,65.0,192.0
quantum_network,quantum_channel,238,262.0,857.0
quantum_network,quantum_circuit,46,31.0,123.0
quantum_information_science,quantum_cryptography,29,54.0,193.0
quantum_channel,quantum_cryptography,28,25.0,79.0
quantum_network,quantum_cryptography,72,98.0,309.0
quantum_capacity,quantum_discord,38,28.0,100.0
amplitude_damping_channel,quantum_discord,33,29.0,96.0
quantum_channel,quantum_discord,37,27.0,98.0
quantum_network,quantum_discord,71,52.0,194.0
quantum_capacity,quantum_error_correction,31,34.0,124.0
quantum_channel,quantum_error_correction,28,26.0,96.0
quantum_technology,quantum_error_correction,39,72.0,324.0
quantum_network,quantum_error_correction,100,123.0,487.0
quantum_network,quantum_gate,53,62.0,241.0
quantum_technology,quantum_imaging,44,102.0,358.0
quantum_sensor,quantum_imaging,65,106.0,378.0
quantum_information_science,quantum_imaging,37,30.0,117.0
quantum_network,quantum_imaging,126,163.0,610.0
quantum_capacity,quantum_information_science,45,55.0,190.0
quantum_cryptography,quantum_information_science,29,54.0,193.0
quantum_technology,quantum_information_science,64,87.0,333.0
quantum_channel,quantum_information_science,96,109.0,371.0
quantum_teleportation,quantum_information_science,54,65.0,226.0
quantum_sensor,quantum_information_science,55,63.0,258.0
quantum_imaging,quantum_information_science,37,30.0,117.0
quantum_network,quantum_information_science,197,264.0,948.0
quantum_network,quantum_memory,51,63.0,176.0
quantum_sensor,quantum_metrology,47,66.0,316.0
quantum_technology,quantum_metrology,28,68.0,319.0
quantum_network,quantum_metrology,86,111.0,628.0
spontaneous_parametric_down-conversion,quantum_network,30,34.0,130.0
cavity_quantum_electrodynamics,quantum_network,29,78.0,240.0
teleportation,quantum_network,61,88.0,260.0
quantum_gate,quantum_network,53,62.0,241.0
classical_capacity,quantum_network,30,29.0,90.0
quantum_cryptography,quantum_network,72,98.0,309.0
quantum_memory,quantum_network,51,63.0,176.0
quantum_discord,quantum_network,71,52.0,194.0
quantum_capacity,quantum_network,121,113.0,384.0
amplitude_damping_channel,quantum_network,71,49.0,174.0
quantum_sensor,quantum_network,210,350.0,1382.0
quantum_information_science,quantum_network,197,264.0,948.0
quantum_imaging,quantum_network,126,163.0,610.0
photon_entanglement,quantum_network,49,48.0,176.0
quantum_channel,quantum_network,238,262.0,857.0
superdense_coding,quantum_network,48,65.0,192.0
quantum_technology,quantum_network,174,404.0,1527.0
quantum_error_correction,quantum_network,100,123.0,487.0
w_state,quantum_network,52,105.0,437.0
quantum_teleportation,quantum_network,160,207.0,748.0
quantum_circuit,quantum_network,46,31.0,123.0
quantum_metrology,quantum_network,86,111.0,628.0
quantum_technology,quantum_sensor,82,216.0,750.0
quantum_metrology,quantum_sensor,47,66.0,316.0
quantum_information_science,quantum_sensor,55,63.0,258.0
quantum_imaging,quantum_sensor,65,106.0,378.0
photon_entanglement,quantum_sensor,29,15.0,72.0
quantum_network,quantum_sensor,210,350.0,1382.0
quantum_information_science,quantum_technology,64,87.0,333.0
quantum_sensor,quantum_technology,82,216.0,750.0
quantum_imaging,quantum_technology,44,102.0,358.0
quantum_metrology,quantum_technology,28,68.0,319.0
quantum_channel,quantum_technology,33,52.0,185.0
quantum_teleportation,quantum_technology,28,74.0,286.0
quantum_error_correction,quantum_technology,39,72.0,324.0
quantum_network,quantum_technology,174,404.0,1527.0
teleportation,quantum_teleportation,60,86.0,255.0
quantum_technology,quantum_teleportation,28,74.0,286.0
quantum_information_science,quantum_teleportation,54,65.0,226.0
quantum_channel,quantum_teleportation,109,134.0,423.0
superdense_coding,quantum_teleportation,46,65.0,192.0
w_state,quantum_teleportation,39,71.0,306.0
quantum_network,quantum_teleportation,160,207.0,748.0
quantum_network,spontaneous_parametric_down-conversion,30,34.0,130.0
teleportation,superdense_coding,41,64.0,184.0
quantum_teleportation,superdense_coding,46,65.0,192.0
quantum_channel,superdense_coding,47,65.0,192.0
quantum_network,superdense_coding,48,65.0,192.0
superdense_coding,teleportation,41,64.0,184.0
quantum_channel,teleportation,61,88.0,260.0
quantum_teleportation,teleportation,60,86.0,255.0
quantum_network,teleportation,61,88.0,260.0
quantum_teleportation,w_state,39,71.0,306.0
quantum_network,w_state,52,105.0,437.0
