source,target,weight,citation_sum_year,citation_sum_year2
classical_capacity,amplitude_damping_channel,32,63.0,172.0
quantum_channel,amplitude_damping_channel,55,75.0,230.0
quantum_network,amplitude_damping_channel,63,67.0,222.0
quantum_capacity,amplitude_damping_channel,50,78.0,229.0
amplitude_damping_channel,classical_capacity,32,63.0,172.0
quantum_channel,classical_capacity,39,69.0,185.0
quantum_network,classical_capacity,37,47.0,137.0
quantum_capacity,classical_capacity,38,69.0,185.0
quantum_network,cluster_state,33,78.0,303.0
quantum_network,heisenberg_limit,29,48.0,144.0
quantum_network,one-way_quantum_computer,30,57.0,188.0
quantum_imaging,photon_entanglement,28,19.0,96.0
quantum_sensor,photon_entanglement,39,29.0,163.0
quantum_network,photon_entanglement,70,69.0,288.0
classical_capacity,quantum_capacity,38,69.0,185.0
quantum_channel,quantum_capacity,78,101.0,331.0
amplitude_damping_channel,quantum_capacity,50,78.0,229.0
quantum_discord,quantum_capacity,32,57.0,166.0
quantum_network,quantum_capacity,110,106.0,392.0
quantum_information_science,quantum_capacity,40,33.0,136.0
quantum_error_correction,quantum_capacity,34,31.0,147.0
quantum_error_correction,quantum_channel,28,38.0,169.0
superdense_coding,quantum_channel,37,49.0,166.0
quantum_technology,quantum_channel,31,23.0,104.0
classical_capacity,quantum_channel,39,69.0,185.0
amplitude_damping_channel,quantum_channel,55,75.0,230.0
quantum_capacity,quantum_channel,78,101.0,331.0
quantum_cryptography,quantum_channel,37,30.0,139.0
quantum_information_science,quantum_channel,98,109.0,395.0
quantum_teleportation,quantum_channel,93,88.0,299.0
teleportation,quantum_channel,56,73.0,225.0
quantum_network,quantum_channel,241,204.0,739.0
quantum_gate,quantum_circuit,31,24.0,87.0
quantum_network,quantum_circuit,47,82.0,280.0
quantum_channel,quantum_cryptography,37,30.0,139.0
quantum_network,quantum_cryptography,94,87.0,392.0
quantum_information_science,quantum_cryptography,33,22.0,138.0
quantum_capacity,quantum_discord,32,57.0,166.0
quantum_metrology,quantum_discord,28,40.0,121.0
quantum_sensor,quantum_discord,28,42.0,123.0
quantum_network,quantum_discord,78,99.0,299.0
quantum_channel,quantum_error_correction,28,38.0,169.0
quantum_gate,quantum_error_correction,33,68.0,254.0
quantum_technology,quantum_error_correction,38,85.0,300.0
quantum_network,quantum_error_correction,114,261.0,928.0
quantum_capacity,quantum_error_correction,34,31.0,147.0
quantum_circuit,quantum_gate,31,24.0,87.0
quantum_network,quantum_gate,61,111.0,379.0
quantum_error_correction,quantum_gate,33,68.0,254.0
quantum_information_science,quantum_imaging,40,47.0,200.0
photon_entanglement,quantum_imaging,28,19.0,96.0
quantum_technology,quantum_imaging,55,34.0,191.0
quantum_sensor,quantum_imaging,65,53.0,280.0
quantum_network,quantum_imaging,137,144.0,611.0
quantum_sensor,quantum_information_science,43,49.0,199.0
quantum_imaging,quantum_information_science,40,47.0,200.0
quantum_teleportation,quantum_information_science,37,94.0,295.0
quantum_technology,quantum_information_science,59,108.0,416.0
quantum_channel,quantum_information_science,98,109.0,395.0
quantum_network,quantum_information_science,196,295.0,1076.0
quantum_cryptography,quantum_information_science,33,22.0,138.0
quantum_capacity,quantum_information_science,40,33.0,136.0
quantum_network,quantum_memory,42,14.0,57.0
quantum_technology,quantum_metrology,41,74.0,269.0
quantum_discord,quantum_metrology,28,40.0,121.0
quantum_sensor,quantum_metrology,61,128.0,420.0
quantum_network,quantum_metrology,103,208.0,664.0
cluster_state,quantum_network,33,78.0,303.0
spontaneous_parametric_down-conversion,quantum_network,47,82.0,274.0
quantum_memory,quantum_network,42,14.0,57.0
heisenberg_limit,quantum_network,29,48.0,144.0
classical_capacity,quantum_network,37,47.0,137.0
photon_entanglement,quantum_network,70,69.0,288.0
one-way_quantum_computer,quantum_network,30,57.0,188.0
squashed_entanglement,quantum_network,28,65.0,221.0
superdense_coding,quantum_network,42,60.0,202.0
amplitude_damping_channel,quantum_network,63,67.0,222.0
w_state,quantum_network,59,102.0,390.0
quantum_metrology,quantum_network,103,208.0,664.0
quantum_discord,quantum_network,78,99.0,299.0
quantum_circuit,quantum_network,47,82.0,280.0
quantum_teleportation,quantum_network,154,221.0,770.0
teleportation,quantum_network,56,73.0,225.0
quantum_channel,quantum_network,241,204.0,739.0
quantum_gate,quantum_network,61,111.0,379.0
quantum_technology,quantum_network,202,255.0,1039.0
quantum_sensor,quantum_network,229,278.0,1082.0
quantum_operation,quantum_network,30,24.0,93.0
quantum_imaging,quantum_network,137,144.0,611.0
quantum_information_science,quantum_network,196,295.0,1076.0
quantum_error_correction,quantum_network,114,261.0,928.0
quantum_cryptography,quantum_network,94,87.0,392.0
quantum_capacity,quantum_network,110,106.0,392.0
quantum_network,quantum_operation,30,24.0,93.0
quantum_information_science,quantum_sensor,43,49.0,199.0
photon_entanglement,quantum_sensor,39,29.0,163.0
quantum_metrology,quantum_sensor,61,128.0,420.0
quantum_discord,quantum_sensor,28,42.0,123.0
quantum_technology,quantum_sensor,105,141.0,607.0
quantum_imaging,quantum_sensor,65,53.0,280.0
quantum_network,quantum_sensor,229,278.0,1082.0
quantum_channel,quantum_technology,31,23.0,104.0
quantum_information_science,quantum_technology,59,108.0,416.0
quantum_teleportation,quantum_technology,43,58.0,255.0
quantum_metrology,quantum_technology,41,74.0,269.0
quantum_error_correction,quantum_technology,38,85.0,300.0
quantum_sensor,quantum_technology,105,141.0,607.0
quantum_imaging,quantum_technology,55,34.0,191.0
quantum_network,quantum_technology,202,255.0,1039.0
superdense_coding,quantum_teleportation,40,60.0,200.0
quantum_information_science,quantum_teleportation,37,94.0,295.0
quantum_technology,quantum_teleportation,43,58.0,255.0
w_state,quantum_teleportation,38,88.0,311.0
quantum_network,quantum_teleportation,154,221.0,770.0
quantum_channel,quantum_teleportation,93,88.0,299.0
teleportation,quantum_teleportation,55,73.0,224.0
quantum_network,spontaneous_parametric_down-conversion,47,82.0,274.0
quantum_network,squashed_entanglement,28,65.0,221.0
teleportation,superdense_coding,32,49.0,163.0
quantum_teleportation,superdense_coding,40,60.0,200.0
quantum_channel,superdense_coding,37,49.0,166.0
quantum_network,superdense_coding,42,60.0,202.0
superdense_coding,teleportation,32,49.0,163.0
quantum_teleportation,teleportation,55,73.0,224.0
quantum_network,teleportation,56,73.0,225.0
quantum_channel,teleportation,56,73.0,225.0
quantum_teleportation,w_state,38,88.0,311.0
quantum_network,w_state,59,102.0,390.0
