source,target,weight,citation_sum_year,citation_sum_year2
quantum_channel,amplitude_damping_channel,49,44.0,164.0
quantum_capacity,amplitude_damping_channel,42,39.0,148.0
quantum_network,amplitude_damping_channel,58,47.0,172.0
quantum_teleportation,bell_state,35,21.0,102.0
quantum_network,bell_state,44,24.0,119.0
quantum_network,cluster_state,33,56.0,320.0
quantum_network,heisenberg_limit,29,22.0,103.0
quantum_network,multipartite,31,26.0,129.0
quantum_network,one-way_quantum_computer,29,39.0,221.0
quantum_imaging,photon_entanglement,38,76.0,296.0
quantum_information_science,photon_entanglement,43,55.0,207.0
quantum_sensor,photon_entanglement,55,92.0,389.0
quantum_network,photon_entanglement,108,102.0,465.0
quantum_error_correction,quantum_capacity,31,43.0,174.0
amplitude_damping_channel,quantum_capacity,42,39.0,148.0
quantum_information_science,quantum_capacity,60,113.0,390.0
quantum_channel,quantum_capacity,83,123.0,479.0
quantum_network,quantum_capacity,112,164.0,619.0
quantum_sensor,quantum_channel,46,38.0,188.0
quantum_technology,quantum_channel,43,32.0,174.0
quantum_cryptography,quantum_channel,44,31.0,123.0
amplitude_damping_channel,quantum_channel,49,44.0,164.0
teleportation,quantum_channel,51,42.0,219.0
superdense_coding,quantum_channel,42,31.0,172.0
quantum_teleportation,quantum_channel,100,87.0,411.0
quantum_information_science,quantum_channel,124,152.0,613.0
quantum_capacity,quantum_channel,83,123.0,479.0
quantum_network,quantum_channel,263,250.0,1088.0
quantum_gate,quantum_circuit,44,67.0,237.0
quantum_network,quantum_circuit,109,173.0,622.0
quantum_information_science,quantum_cryptography,43,40.0,133.0
quantum_channel,quantum_cryptography,44,31.0,123.0
quantum_network,quantum_cryptography,101,100.0,369.0
quantum_sensor,quantum_discord,29,21.0,102.0
quantum_network,quantum_discord,76,75.0,306.0
quantum_capacity,quantum_error_correction,31,43.0,174.0
quantum_technology,quantum_error_correction,45,43.0,213.0
quantum_network,quantum_error_correction,146,199.0,918.0
quantum_circuit,quantum_gate,44,67.0,237.0
quantum_network,quantum_gate,70,76.0,314.0
photon_entanglement,quantum_imaging,38,76.0,296.0
quantum_information_science,quantum_imaging,61,109.0,552.0
quantum_metrology,quantum_imaging,35,47.0,218.0
quantum_sensor,quantum_imaging,100,205.0,927.0
quantum_technology,quantum_imaging,82,173.0,799.0
quantum_network,quantum_imaging,201,281.0,1270.0
quantum_imaging,quantum_information_science,61,109.0,552.0
quantum_sensor,quantum_information_science,113,160.0,827.0
quantum_metrology,quantum_information_science,31,26.0,150.0
quantum_cryptography,quantum_information_science,43,40.0,133.0
photon_entanglement,quantum_information_science,43,55.0,207.0
quantum_technology,quantum_information_science,112,160.0,899.0
quantum_teleportation,quantum_information_science,52,90.0,365.0
quantum_channel,quantum_information_science,124,152.0,613.0
quantum_capacity,quantum_information_science,60,113.0,390.0
quantum_network,quantum_information_science,301,398.0,1826.0
quantum_network,quantum_machine_learning,31,130.0,497.0
quantum_network,quantum_memory,43,15.0,86.0
quantum_information_science,quantum_metrology,31,26.0,150.0
quantum_imaging,quantum_metrology,35,47.0,218.0
quantum_technology,quantum_metrology,52,84.0,325.0
quantum_sensor,quantum_metrology,109,97.0,495.0
quantum_network,quantum_metrology,204,203.0,927.0
spontaneous_parametric_down-conversion,quantum_network,47,55.0,187.0
heisenberg_limit,quantum_network,29,22.0,103.0
quantum_memory,quantum_network,43,15.0,86.0
multipartite,quantum_network,31,26.0,129.0
