Concept1,Concept2,JaccardScore
C121040770,C139356082,0.3485342019543974
C121040770,C121332964,0.7331730769230769
C121040770,C91717678,0.26517571884984026
C121040770,C144901912,0.22402597402597402
C121040770,C32270708,0.09446254071661238
C121040770,C62520636,0.7331730769230769
C121040770,C71799126,0.09446254071661238
C121040770,C33332235,0.1791530944625407
C121040770,C84114770,0.7331730769230769
C121040770,C41241483,0.33860759493670883
C121040770,C206003972,0.05537459283387622
C121040770,C5320026,0.5537459283387622
C121040770,C186468114,0.7331730769230769
C121040770,C169699857,0.5868421052631579
C121040770,C58053490,0.45675675675675675
C121040770,C41008148,0.6147959183673469
C121040770,C190463098,0.4853801169590643
C121040770,C137019171,0.18562874251497005
C121040770,C190474826,0.5269121813031161
C121040770,C51003876,0.32344213649851633
C121040770,C80444323,0.2688821752265861
C121040770,C95013731,0.35668789808917195
C121040770,C187486625,0.40584415584415584
C121040770,C89143813,0.4796511627906977
C121040770,C206040425,0.23452768729641693
C121040770,C48103436,0.1266233766233766
C121040770,C33923547,0.58
C121040770,C118615104,0.16981132075471697
C121040770,C11413529,0.3163841807909605
C121040770,C158456648,0.15112540192926044
C121040770,C19271316,0.1607717041800643
C121040770,C169460222,0.10476190476190476
C121040770,C203087015,0.41194029850746267
C121040770,C20593774,0.23452768729641693
C121040770,C124148022,0.14596273291925466
C121040770,C22984246,0.38509316770186336
C121040770,C121864883,0.3729903536977492
C121040770,C195766429,0.17041800643086816
C121040770,C11577676,0.06188925081433225
C121040770,C9652623,0.1237785016286645
C121040770,C99498987,0.24050632911392406
C121040770,C180214583,0.20192307692307693
C121040770,C28719098,0.06188925081433225
C121040770,C154945302,0.32840236686390534
C121040770,C2524010,0.13968253968253969
C121040770,C202444582,0.1237785016286645
C121040770,C115961682,0.2445141065830721
C121040770,C2779960059,0.14193548387096774
C121040770,C39927690,0.08794788273615635
C121040770,C2780310539,0.10749185667752444
C121040770,C2776459999,0.08794788273615635
C121040770,C195545963,0.11074918566775244
C121040770,C127162648,0.3032258064516129
C121040770,C157486923,0.08794788273615635
C121040770,C184720557,0.3238993710691824
C121040770,C76155785,0.3573667711598746
C121040770,C114614502,0.2848101265822785
C121040770,C125411270,0.11074918566775244
C121040770,C41895202,0.14790996784565916
C121040770,C138885662,0.25961538461538464
C121040770,C134306372,0.3050314465408805
C121040770,C111919701,0.17307692307692307
C121040770,C2778361524,0.17419354838709677
C121040770,C181543814,0.07119741100323625
C121040770,C151201525,0.1858974358974359
C121040770,C122527463,0.18849840255591055
C121040770,C159317903,0.48942598187311176
C121040770,C74939445,0.20512820512820512
C121040770,C62611344,0.048859934853420196
C121040770,C761482,0.08469055374592833
C121040770,C15706264,0.2229299363057325
C121040770,C20788544,0.25961538461538464
C121040770,C95466800,0.23376623376623376
C121040770,C68717125,0.3871951219512195
C121040770,C49040817,0.22839506172839505
C121040770,C177731217,0.10679611650485436
C121040770,C24326235,0.16718266253869968
C121040770,C127413603,0.2796352583586626
C121040770,C120665830,0.428125
C121040770,C94915269,0.21221864951768488
C121040770,C2779832538,0.0781758957654723
C121040770,C203103908,0.19218241042345277
C121040770,C78336883,0.06514657980456026
C121040770,C15336307,0.06514657980456026
C121040770,C2779843651,0.1461038961038961
C121040770,C168834538,0.06514657980456026
C121040770,C71924100,0.11974110032362459
C121040770,C204787440,0.11974110032362459
C121040770,C142724271,0.11974110032362459
C121040770,C24890656,0.10097719869706841
C121040770,C199360897,0.25
C121040770,C71191651,0.07766990291262135
C121040770,C124657808,0.12698412698412698
C121040770,C74130334,0.08253968253968254
C121040770,C183968085,0.21451104100946372
C121040770,C89298294,0.06188925081433225
C121040770,C108225325,0.12380952380952381
C121040770,C121477167,0.08253968253968254
C121040770,C136197465,0.06188925081433225
C121040770,C154255573,0.15960912052117263
C121040770,C187678412,0.10749185667752444
C121040770,C118704821,0.12052117263843648
C121040770,C2781402376,0.05537459283387622
C121040770,C2777288060,0.13355048859934854
C121040770,C106978608,0.0781758957654723
C121040770,C113603373,0.026058631921824105
C121040770,C208081375,0.048859934853420196
C121040770,C33980943,0.026058631921824105
C121040770,C2776921476,0.16025641025641027
C121040770,C114221277,0.11650485436893204
C121040770,C116696211,0.14375
C121040770,C2987822364,0.13636363636363635
C121040770,C207114421,0.12052117263843648
C121040770,C171250308,0.16772151898734178
C121040770,C61696701,0.05863192182410423
C121040770,C26873012,0.2772585669781931
C121040770,C185592680,0.1910828025477707
C121040770,C192562407,0.17088607594936708
C121040770,C178790620,0.11726384364820847
C121040770,C2778870898,0.23052959501557632
C121040770,C42704618,0.18495297805642633
C121040770,C199185054,0.05211726384364821
C121040770,C97355855,0.18495297805642633
C121040770,C205049153,0.06514657980456026
C121040770,C182610534,0.05537459283387622
C121040770,C147789679,0.06514657980456026
C121040770,C111776688,0.05863192182410423
C121040770,C103862110,0.09446254071661238
C121040770,C23576306,0.1488673139158576
C121040770,C58312451,0.15960912052117263
C121040770,C196597080,0.1237785016286645
C121040770,C166689943,0.1488673139158576
C121040770,C82706917,0.09446254071661238
C121040770,C149635348,0.15960912052117263
C121040770,C26517878,0.15309446254071662
C121040770,C2778184138,0.07096774193548387
C121040770,C163716315,0.10423452768729642
C121040770,C152026323,0.1305732484076433
C121040770,C163173736,0.0781758957654723
C121040770,C38652104,0.18241042345276873
C121040770,C178489894,0.1270358306188925
C121040770,C32848918,0.06514657980456026
C121040770,C11255438,0.13166144200626959
C121040770,C43682372,0.1282051282051282
C121040770,C185429906,0.06514657980456026
C121040770,C192122513,0.1032258064516129
C121040770,C56911000,0.06514657980456026
C121040770,C15184713,0.15625
C121040770,C105795698,0.4129032258064516
C121040770,C184551789,0.12297734627831715
C121040770,C45792457,0.0781758957654723
C121040770,C2775929963,0.0781758957654723
C121040770,C68481104,0.0781758957654723
C121040770,C32022120,0.1553398058252427
C121040770,C520434653,0.18691588785046728
C121040770,C119599485,0.1832797427652733
C121040770,C2781089630,0.21935483870967742
C121040770,C181500209,0.06514657980456026
C121040770,C77618280,0.09446254071661238
C121040770,C50820777,0.06840390879478828
C121040770,C2776175482,0.06840390879478828
C121040770,C45374587,0.17791411042944785
C121040770,C173608175,0.10714285714285714
C121040770,C86844869,0.06514657980456026
C121040770,C63882131,0.06514657980456026
C121040770,C110875604,0.07119741100323625
C121040770,C136764020,0.07119741100323625
C121040770,C111472728,0.17857142857142858
C121040770,C168090291,0.16938110749185667
C121040770,C97744766,0.12052117263843648
C121040770,C75553542,0.08469055374592833
C121040770,C106301342,0.10423452768729642
C121040770,C52622258,0.10423452768729642
C121040770,C24495805,0.11726384364820847
C121040770,C184049767,0.1461038961038961
C121040770,C77553402,0.11688311688311688
C121040770,C174440990,0.05211726384364821
C121040770,C145148216,0.10289389067524116
C121040770,C184779094,0.10897435897435898
C121040770,C104434177,0.25732899022801303
C121040770,C125245961,0.05863192182410423
C121040770,C162967359,0.09090909090909091
C121040770,C114671716,0.05863192182410423
C121040770,C138622882,0.03908794788273615
C121040770,C18480692,0.048859934853420196
C121040770,C207579572,0.048859934853420196
C121040770,C44280652,0.08414239482200647
C121040770,C99692599,0.06840390879478828
C121040770,C161166931,0.15384615384615385
C121040770,C163677043,0.08794788273615635
C121040770,C2777904410,0.08794788273615635
C121040770,C198377831,0.04560260586319218
C121040770,C2780009758,0.10828025477707007
C121040770,C55795843,0.0749185667752443
C121040770,C77088390,0.1761006289308176
C121040770,C155355069,0.048859934853420196
C121040770,C130787639,0.11182108626198083
C121040770,C201665358,0.048859934853420196
C121040770,C2781204021,0.048859934853420196
C121040770,C69523127,0.048859934853420196
C121040770,C37914503,0.048859934853420196
C121040770,C126255220,0.12658227848101267
C121040770,C45483111,0.06188925081433225
C121040770,C101973423,0.06188925081433225
C121040770,C64775481,0.06188925081433225
C121040770,C169345407,0.04560260586319218
C121040770,C138268822,0.09034267912772585
C121040770,C32891209,0.0781758957654723
C121040770,C78203541,0.08794788273615635
C121040770,C125112378,0.05863192182410423
C121040770,C128108043,0.0749185667752443
C121040770,C165330911,0.04234527687296417
C121040770,C147323434,0.0670926517571885
C121040770,C2776261394,0.05537459283387622
C121040770,C199539241,0.08974358974358974
C121040770,C17744445,0.08974358974358974
C121040770,C2776646148,0.10097719869706841
C121040770,C521332185,0.05863192182410423
C121040770,C204530211,0.05863192182410423
C121040770,C117251300,0.05863192182410423
C121040770,C89394759,0.05863192182410423
C121040770,C153385146,0.05863192182410423
C121040770,C153294291,0.05863192182410423
C121040770,C68339613,0.05537459283387622
C121040770,C48983235,0.035830618892508145
C121040770,C2781181686,0.21835443037974683
C121040770,C2778204307,0.05211726384364821
C121040770,C190269828,0.0935483870967742
C121040770,C169268690,0.05211726384364821
C121040770,C27753989,0.10967741935483871
C121040770,C2985428132,0.06493506493506493
C121040770,C101722063,0.04234527687296417
C121040770,C2994168587,0.04234527687296417
C121040770,C9390403,0.08387096774193549
C121040770,C31258907,0.15806451612903225
C121040770,C85604662,0.05863192182410423
C121040770,C21200559,0.10344827586206896
C121040770,C23125352,0.05863192182410423
C121040770,C158622935,0.11400651465798045
C121040770,C29406490,0.08143322475570032
C121040770,C72659945,0.08143322475570032
C121040770,C160333310,0.05211726384364821
C121040770,C203062551,0.05211726384364821
C121040770,C148730421,0.05211726384364821
C121040770,C2776809875,0.05537459283387622
C121040770,C2780722187,0.08469055374592833
C121040770,C207999682,0.08469055374592833
C121040770,C191897082,0.08469055374592833
C121040770,C159985019,0.13141025641025642
C121040770,C82217956,0.08469055374592833
C121040770,C44838205,0.06168831168831169
C121040770,C179371143,0.07371794871794872
C121040770,C27289702,0.05863192182410423
C121040770,C37589322,0.03257328990228013
C121040770,C31872934,0.05537459283387622
C121040770,C182953411,0.12861736334405144
C121040770,C131538251,0.05537459283387622
C121040770,C197657726,0.05537459283387622
C121040770,C132525143,0.08469055374592833
C121040770,C131935069,0.05863192182410423
C121040770,C2776257435,0.05863192182410423
C121040770,C116672817,0.05211726384364821
C121040770,C107418235,0.06514657980456026
C121040770,C165696696,0.06514657980456026
C121040770,C96835668,0.06514657980456026
C121040770,C86803240,0.14102564102564102
C121040770,C169760540,0.06514657980456026
C121040770,C2778476455,0.04560260586319218
C121040770,C47091857,0.06818181818181818
C121040770,C108568745,0.04234527687296417
C121040770,C204572665,0.04234527687296417
C121040770,C58801389,0.04234527687296417
C121040770,C106881136,0.04234527687296417
C121040770,C124017977,0.04234527687296417
C121040770,C74650414,0.06840390879478828
C121040770,C166733315,0.048859934853420196
C121040770,C11511207,0.035830618892508145
C121040770,C180137035,0.07166123778501629
C121040770,C149862233,0.07166123778501629
C121040770,C155675718,0.05863192182410423
C121040770,C189950617,0.04234527687296417
C121040770,C171912257,0.04234527687296417
C121040770,C104114177,0.04234527687296417
C121040770,C113775141,0.12063492063492064
C121040770,C103088060,0.0914826498422713
C121040770,C60229501,0.04560260586319218
C121040770,C120314980,0.06818181818181818
C121040770,C101645829,0.09120521172638436
C121040770,C138777275,0.05211726384364821
C121040770,C93038891,0.05211726384364821
C121040770,C198082294,0.05211726384364821
C121040770,C194232370,0.09120521172638436
C121040770,C10138342,0.06472491909385113
C121040770,C162324750,0.05211726384364821
C121040770,C39432304,0.029315960912052116
C121040770,C78854221,0.048859934853420196
C121040770,C135402231,0.048859934853420196
C121040770,C3079626,0.048859934853420196
C121040770,C506630978,0.05863192182410423
C121040770,C185544564,0.05863192182410423
C121040770,C204030448,0.05537459283387622
C121040770,C74214498,0.07166123778501629
C121040770,C2779343474,0.10289389067524116
C121040770,C151730666,0.12179487179487179
C121040770,C171811987,0.03257328990228013
C121040770,C2983394010,0.03257328990228013
C139356082,C121332964,0.25721153846153844
C139356082,C91717678,0.3288590604026846
C139356082,C144901912,0.30656934306569344
C139356082,C32270708,0.21052631578947367
C139356082,C62520636,0.25721153846153844
C139356082,C71799126,0.21052631578947367
C139356082,C33332235,0.37815126050420167
C139356082,C84114770,0.25721153846153844
C139356082,C41241483,0.5100671140939598
C139356082,C206003972,0.1559633027522936
C139356082,C5320026,0.3160377358490566
C139356082,C186468114,0.25721153846153844
C139356082,C169699857,0.2939297124600639
C139356082,C22984246,0.2653061224489796
C139356082,C58053490,0.23104693140794225
C139356082,C190463098,0.2916666666666667
C139356082,C190474826,0.3015267175572519
C139356082,C121864883,0.624113475177305
C139356082,C95013731,0.425
C139356082,C195766429,0.22962962962962963
C139356082,C11577676,0.1743119266055046
C139356082,C89143813,0.29583333333333334
C139356082,C9652623,0.2457627118644068
C139356082,C99498987,0.4057971014492754
C139356082,C180214583,0.45081967213114754
C139356082,C28719098,0.1743119266055046
C139356082,C41008148,0.2756598240469208
C139356082,C33923547,0.34980988593155893
C139356082,C154945302,0.37158469945355194
C139356082,C2524010,0.2777777777777778
C139356082,C202444582,0.2457627118644068
C139356082,C115961682,0.4014084507042254
C139356082,C2778361524,0.328
C139356082,C181543814,0.1565217391304348
C139356082,C151201525,0.4214876033057851
C139356082,C134306372,0.47619047619047616
C139356082,C122527463,0.3384615384615385
C139356082,C20593774,0.3609022556390977
C139356082,C159317903,0.27705627705627706
C139356082,C74939445,0.24475524475524477
C139356082,C32848918,0.1834862385321101
C139356082,C137019171,0.31125827814569534
C139356082,C51003876,0.3626373626373626
C139356082,C11255438,0.26356589147286824
C139356082,C43682372,0.2727272727272727
C139356082,C185429906,0.1834862385321101
C139356082,C192122513,0.23076923076923078
C139356082,C56911000,0.1834862385321101
C139356082,C15706264,0.34782608695652173
C139356082,C15184713,0.2647058823529412
C139356082,C105795698,0.48148148148148145
C139356082,C68717125,0.21800947867298578
C139356082,C203087015,0.3888888888888889
C139356082,C95466800,0.2465753424657534
C139356082,C187486625,0.4329268292682927
C139356082,C154255573,0.2440944881889764
C139356082,C168090291,0.4375
C139356082,C97744766,0.30357142857142855
C139356082,C75553542,0.23853211009174313
C139356082,C127162648,0.37333333333333335
C139356082,C206040425,0.4596774193548387
C139356082,C106301342,0.29357798165137616
C139356082,C52622258,0.29357798165137616
C139356082,C24495805,0.3302752293577982
C139356082,C184049767,0.34782608695652173
C139356082,C77553402,0.32727272727272727
C139356082,C118615104,0.3181818181818182
C139356082,C76155785,0.3505747126436782
C139356082,C138885662,0.31756756756756754
C139356082,C111472728,0.32
C139356082,C198377831,0.12844036697247707
C139356082,C2780009758,0.2396694214876033
C139356082,C55795843,0.21100917431192662
C139356082,C77088390,0.29411764705882354
C139356082,C45483111,0.1743119266055046
C139356082,C101973423,0.1743119266055046
C139356082,C64775481,0.1743119266055046
C139356082,C45374587,0.25675675675675674
C139356082,C68339613,0.1559633027522936
C139356082,C11413529,0.28846153846153844
C139356082,C173608175,0.2222222222222222
C139356082,C21200559,0.2125984251968504
C139356082,C158622935,0.2743362831858407
C139356082,C29406490,0.22935779816513763
C139356082,C72659945,0.22935779816513763
C139356082,C120665830,0.22748815165876776
C139356082,C94915269,0.2695035460992908
C139356082,C24326235,0.2695035460992908
C139356082,C127413603,0.26704545454545453
C139356082,C2778870898,0.20121951219512196
C139356082,C118704821,0.21666666666666667
C139356082,C26873012,0.20454545454545456
C139356082,C108568745,0.11926605504587157
C139356082,C204572665,0.11926605504587157
C139356082,C58801389,0.11926605504587157
C139356082,C106881136,0.11926605504587157
C139356082,C124017977,0.11926605504587157
C139356082,C74650414,0.16071428571428573
C139356082,C180137035,0.2018348623853211
C139356082,C184720557,0.31952662721893493
C139356082,C149862233,0.2018348623853211
C139356082,C31258907,0.288
C139356082,C114614502,0.3248407643312102
C139356082,C183968085,0.23841059602649006
C139356082,C32891209,0.1981981981981982
C139356082,C506630978,0.1651376146788991
C139356082,C185544564,0.1651376146788991
C121332964,C91717678,0.21394230769230768
C121332964,C144901912,0.16826923076923078
C121332964,C32270708,0.06971153846153846
C121332964,C62520636,0.9951923076923077
C121332964,C71799126,0.06971153846153846
C121332964,C33332235,0.13221153846153846
C121332964,C84114770,0.9951923076923077
C121332964,C41241483,0.27884615384615385
C121332964,C206003972,0.040865384615384616
C121332964,C5320026,0.40865384615384615
C121332964,C186468114,0.9951923076923077
C121332964,C169699857,0.7115384615384616
C121332964,C58053490,0.5576923076923077
C121332964,C41008148,0.7836538461538461
C121332964,C190463098,0.4831730769230769
C121332964,C137019171,0.21394230769230768
C121332964,C190474826,0.5576923076923077
C121332964,C51003876,0.33413461538461536
C121332964,C80444323,0.27163461538461536
C121332964,C95013731,0.2860576923076923
C121332964,C187486625,0.30288461538461536
C121332964,C89143813,0.4855769230769231
C121332964,C154255573,0.11778846153846154
C121332964,C187678412,0.07932692307692307
C121332964,C159317903,0.44711538461538464
C121332964,C206040425,0.17307692307692307
C121332964,C48103436,0.09615384615384616
C121332964,C33923547,0.5913461538461539
C121332964,C118615104,0.15625
C121332964,C11413529,0.38221153846153844
C121332964,C192061203,0.0625
C121332964,C29248071,0.04326923076923077
C121332964,C131671149,0.04326923076923077
C121332964,C31402856,0.04326923076923077
C121332964,C144271403,0.04326923076923077
C121332964,C15190523,0.04326923076923077
C121332964,C179061269,0.04326923076923077
C121332964,C11255438,0.12980769230769232
C121332964,C45374587,0.18509615384615385
C121332964,C15184713,0.15144230769230768
C121332964,C158456648,0.12259615384615384
C121332964,C19271316,0.12980769230769232
C121332964,C169460222,0.0985576923076923
C121332964,C203087015,0.39903846153846156
C121332964,C20593774,0.17307692307692307
C121332964,C124148022,0.14903846153846154
C121332964,C122527463,0.15625
C121332964,C194975256,0.038461538461538464
C121332964,C55615164,0.06009615384615385
C121332964,C43682372,0.10817307692307693
C121332964,C27753989,0.0889423076923077
C121332964,C142465778,0.06490384615384616
C121332964,C58849907,0.125
C121332964,C94375191,0.04807692307692308
C121332964,C102565666,0.057692307692307696
C121332964,C177264268,0.09615384615384616
C121332964,C184720557,0.27403846153846156
C121332964,C114614502,0.23798076923076922
C121332964,C199360897,0.24759615384615385
C121332964,C22984246,0.33413461538461536
C121332964,C121864883,0.28846153846153844
C121332964,C195766429,0.13701923076923078
C121332964,C11577676,0.04567307692307692
C121332964,C9652623,0.09134615384615384
C121332964,C99498987,0.20432692307692307
C121332964,C180214583,0.16346153846153846
C121332964,C28719098,0.04567307692307692
C121332964,C154945302,0.34134615384615385
C121332964,C2524010,0.125
C121332964,C202444582,0.09134615384615384
C121332964,C115961682,0.21634615384615385
C121332964,C2779960059,0.11298076923076923
C121332964,C39927690,0.06490384615384616
C121332964,C2780310539,0.07932692307692307
C121332964,C2776459999,0.06490384615384616
C121332964,C195545963,0.08173076923076923
C121332964,C127162648,0.23317307692307693
C121332964,C157486923,0.06490384615384616
C121332964,C76155785,0.30288461538461536
C121332964,C125411270,0.08173076923076923
C121332964,C41895202,0.1201923076923077
C121332964,C138885662,0.20673076923076922
C121332964,C134306372,0.25961538461538464
C121332964,C111919701,0.14182692307692307
C121332964,C2778361524,0.13701923076923078
C121332964,C181543814,0.057692307692307696
C121332964,C151201525,0.15144230769230768
C121332964,C113775141,0.11057692307692307
C121332964,C459310,0.036057692307692304
C121332964,C48044578,0.08653846153846154
C121332964,C20788544,0.20673076923076922
C121332964,C2780385302,0.052884615384615384
C121332964,C119599485,0.1466346153846154
C121332964,C71924100,0.09375
C121332964,C204787440,0.09375
C121332964,C142724271,0.09375
C121332964,C77088390,0.16105769230769232
C121332964,C127413603,0.27403846153846156
C121332964,C74939445,0.1658653846153846
C121332964,C145148216,0.08653846153846154
C121332964,C91275184,0.02403846153846154
C121332964,C520434653,0.1778846153846154
C121332964,C68717125,0.3557692307692308
C121332964,C18762648,0.05048076923076923
C121332964,C183968085,0.1875
C121332964,C184779094,0.09375
C121332964,C32022120,0.1201923076923077
C121332964,C62611344,0.036057692307692304
C121332964,C761482,0.0625
C121332964,C15706264,0.18509615384615385
C121332964,C95466800,0.17548076923076922
C121332964,C49040817,0.21875
C121332964,C177731217,0.08413461538461539
C121332964,C24326235,0.16826923076923078
C121332964,C120665830,0.3605769230769231
C121332964,C94915269,0.16826923076923078
C121332964,C2779832538,0.057692307692307696
C121332964,C203103908,0.14182692307692307
C121332964,C78336883,0.04807692307692308
C121332964,C15336307,0.04807692307692308
C121332964,C2779843651,0.11057692307692307
C121332964,C168834538,0.04807692307692308
C121332964,C24890656,0.07451923076923077
C121332964,C71191651,0.0625
C121332964,C2776921476,0.13221153846153846
C121332964,C2778870898,0.21153846153846154
C121332964,C115260700,0.11298076923076923
C121332964,C42704618,0.17067307692307693
C121332964,C147120987,0.09134615384615384
C121332964,C45206210,0.08173076923076923
C121332964,C26873012,0.24759615384615385
C121332964,C116696211,0.14182692307692307
C121332964,C138268822,0.10336538461538461
C121332964,C192562407,0.15144230769230768
C121332964,C171250308,0.14903846153846154
C121332964,C159985019,0.11057692307692307
C121332964,C97355855,0.17067307692307693
C121332964,C77618280,0.06971153846153846
C121332964,C26517878,0.11298076923076923
C121332964,C38652104,0.1346153846153846
C121332964,C31258907,0.125
C121332964,C110875604,0.057692307692307696
C121332964,C182306322,0.02403846153846154
C121332964,C136764020,0.057692307692307696
C121332964,C144133560,0.02403846153846154
C121332964,C10138342,0.052884615384615384
C121332964,C124657808,0.11538461538461539
C121332964,C74130334,0.08173076923076923
C121332964,C89298294,0.04567307692307692
C121332964,C108225325,0.11298076923076923
C121332964,C121477167,0.08173076923076923
C121332964,C153946474,0.08413461538461539
C121332964,C2779343474,0.08653846153846154
C121332964,C115051666,0.04807692307692308
C121332964,C151730666,0.10336538461538461
C121332964,C86803240,0.11778846153846154
C121332964,C136197465,0.04567307692307692
C121332964,C118704821,0.0889423076923077
C121332964,C111996192,0.040865384615384616
C121332964,C111861475,0.040865384615384616
C121332964,C66601787,0.036057692307692304
C121332964,C161166931,0.12740384615384615
C121332964,C28855332,0.057692307692307696
