Concept1,Concept2,JaccardScore
C186468114,C190463098,0.3450479233226837
C186468114,C121040770,0.6837060702875399
C186468114,C91717678,0.2364217252396166
C186468114,C95013731,0.15335463258785942
C186468114,C187486625,0.3769968051118211
C186468114,C89143813,0.36421725239616615
C186468114,C5320026,0.3610223642172524
C186468114,C121332964,0.9936102236421726
C186468114,C41008148,0.8019169329073482
C186468114,C169699857,0.7028753993610224
C186468114,C84114770,0.9936102236421726
C186468114,C58053490,0.5207667731629393
C186468114,C62520636,0.9936102236421726
C186468114,C190474826,0.43450479233226835
C186468114,C154255573,0.1501597444089457
C186468114,C187678412,0.0926517571884984
C186468114,C159317903,0.46006389776357826
C186468114,C41241483,0.3354632587859425
C186468114,C206040425,0.22364217252396165
C186468114,C48103436,0.12779552715654952
C186468114,C33923547,0.6485623003194888
C186468114,C118615104,0.20766773162939298
C186468114,C11413529,0.46325878594249204
C186468114,C192061203,0.05750798722044728
C186468114,C29248071,0.05750798722044728
C186468114,C131671149,0.05750798722044728
C186468114,C31402856,0.05750798722044728
C186468114,C137019171,0.19808306709265175
C186468114,C144271403,0.05750798722044728
C186468114,C15190523,0.05750798722044728
C186468114,C179061269,0.05750798722044728
C186468114,C80444323,0.3194888178913738
C186468114,C11255438,0.13738019169329074
C186468114,C45374587,0.21405750798722045
C186468114,C15184713,0.14376996805111822
C186468114,C158456648,0.1597444089456869
C186468114,C19271316,0.16932907348242812
C186468114,C169460222,0.12140575079872204
C186468114,C51003876,0.3801916932907348
C186468114,C203087015,0.329073482428115
C186468114,C20593774,0.2268370607028754
C186468114,C124148022,0.17252396166134185
C186468114,C122527463,0.15335463258785942
C186468114,C194975256,0.051118210862619806
C186468114,C55615164,0.07987220447284345
C186468114,C43682372,0.10862619808306709
C186468114,C27753989,0.1182108626198083
C186468114,C142465778,0.07667731629392971
C186468114,C58849907,0.14376996805111822
C186468114,C94375191,0.06389776357827476
C186468114,C102565666,0.07667731629392971
C186468114,C177264268,0.12779552715654952
C186468114,C184720557,0.33226837060702874
C186468114,C114614502,0.3003194888178914
C186468114,C199360897,0.24600638977635783
C186468114,C22984246,0.3354632587859425
C186468114,C33332235,0.10862619808306709
C186468114,C139356082,0.24920127795527156
C186468114,C121864883,0.2523961661341853
C186468114,C2779960059,0.1501597444089457
C186468114,C39927690,0.08626198083067092
C186468114,C2780310539,0.10543130990415335
C186468114,C2776459999,0.08626198083067092
C186468114,C195545963,0.08626198083067092
C186468114,C127162648,0.23003194888178913
C186468114,C157486923,0.08626198083067092
C186468114,C76155785,0.2939297124600639
C186468114,C125411270,0.08626198083067092
C186468114,C41895202,0.1597444089456869
C186468114,C138885662,0.22364217252396165
C186468114,C134306372,0.2971246006389776
C186468114,C154945302,0.3194888178913738
C186468114,C111919701,0.18849840255591055
C186468114,C180214583,0.14057507987220447
C186468114,C2778361524,0.10223642172523961
C186468114,C181543814,0.07667731629392971
C186468114,C151201525,0.14057507987220447
C186468114,C48044578,0.11501597444089456
C186468114,C20788544,0.14696485623003194
C186468114,C2780385302,0.07028753993610223
C186468114,C119599485,0.09904153354632587
C186468114,C71924100,0.12460063897763578
C186468114,C204787440,0.12460063897763578
C186468114,C142724271,0.12460063897763578
C186468114,C77088390,0.21405750798722045
C186468114,C127413603,0.19488817891373802
C186468114,C74939445,0.17891373801916932
C186468114,C145148216,0.038338658146964855
C186468114,C91275184,0.03194888178913738
C186468114,C520434653,0.1757188498402556
C186468114,C68717125,0.3226837060702875
C186468114,C18762648,0.03194888178913738
C186468114,C183968085,0.19488817891373802
C186468114,C184779094,0.10862619808306709
C186468114,C32022120,0.0670926517571885
C186468114,C62611344,0.04792332268370607
C186468114,C761482,0.08306709265175719
C186468114,C15706264,0.17252396166134185
C186468114,C120665830,0.3450479233226837
C186468114,C94915269,0.14376996805111822
C186468114,C2779832538,0.07667731629392971
C186468114,C203103908,0.14376996805111822
C186468114,C78336883,0.06389776357827476
C186468114,C15336307,0.06389776357827476
C186468114,C2779843651,0.12460063897763578
C186468114,C168834538,0.06389776357827476
C186468114,C24890656,0.06389776357827476
C186468114,C144901912,0.17252396166134185
C186468114,C95466800,0.17252396166134185
C186468114,C71191651,0.051118210862619806
C186468114,C77618280,0.0926517571884984
C186468114,C26517878,0.10862619808306709
C186468114,C38652104,0.10862619808306709
C186468114,C31258907,0.16613418530351437
C186468114,C124657808,0.12460063897763578
C186468114,C74130334,0.10862619808306709
C186468114,C89298294,0.06070287539936102
C186468114,C9652623,0.08306709265175719
C186468114,C108225325,0.10862619808306709
C186468114,C121477167,0.10862619808306709
C186468114,C202444582,0.08306709265175719
C186468114,C136197465,0.06070287539936102
C186468114,C118704821,0.07667731629392971
C186468114,C66601787,0.04792332268370607
C186468114,C161166931,0.10223642172523961
C186468114,C28855332,0.07667731629392971
C186468114,C152026323,0.15335463258785942
C186468114,C2781181686,0.14376996805111822
C186468114,C44838205,0.04472843450479233
C186468114,C143724316,0.04472843450479233
C186468114,C49040817,0.16293929712460065
C186468114,C86803240,0.04472843450479233
C186468114,C151730666,0.04472843450479233
C186468114,C182953411,0.14057507987220447
C186468114,C59500034,0.07348242811501597
C186468114,C2777288060,0.0926517571884984
C186468114,C177731217,0.038338658146964855
C186468114,C106978608,0.07667731629392971
C186468114,C190475519,0.04792332268370607
C186468114,C173608175,0.0926517571884984
C186468114,C153946474,0.07028753993610223
C186468114,C5484521,0.07028753993610223
C186468114,C115260700,0.07028753993610223
C186468114,C21200559,0.07028753993610223
C186468114,C78902741,0.07028753993610223
C186468114,C556910895,0.07028753993610223
C186468114,C46141821,0.07028753993610223
C186468114,C2776029896,0.07028753993610223
C186468114,C32546565,0.07028753993610223
C186468114,C138268822,0.09584664536741214
C186468114,C24326235,0.12460063897763578
C186468114,C118552586,0.07028753993610223
C186468114,C15744967,0.07028753993610223
C186468114,C77805123,0.07028753993610223
C186468114,C522805319,0.07028753993610223
C186468114,C113603373,0.025559105431309903
C186468114,C208081375,0.025559105431309903
C186468114,C33980943,0.025559105431309903
C186468114,C2778870898,0.16932907348242812
C186468114,C42704618,0.15335463258785942
C186468114,C199185054,0.051118210862619806
C186468114,C26873012,0.16932907348242812
C186468114,C97355855,0.15335463258785942
C186468114,C2778184138,0.05750798722044728
C186468114,C163716315,0.10223642172523961
C186468114,C163173736,0.05750798722044728
C186468114,C178489894,0.08945686900958466
C186468114,C119382340,0.08626198083067092
C186468114,C162967359,0.07348242811501597
C186468114,C69497775,0.025559105431309903
C186468114,C177148314,0.04153354632587859
C186468114,C192122513,0.04153354632587859
C186468114,C2985568454,0.04153354632587859
C186468114,C116696211,0.12140575079872204
C186468114,C150365167,0.0926517571884984
C186468114,C21690051,0.0926517571884984
C186468114,C147120987,0.0926517571884984
C186468114,C113775141,0.10543130990415335
C186468114,C2781089630,0.16613418530351437
C186468114,C181500209,0.06389776357827476
C186468114,C2987822364,0.09584664536741214
C186468114,C58312451,0.0926517571884984
C186468114,C105795698,0.31309904153354634
C186468114,C149635348,0.0926517571884984
C186468114,C50820777,0.0670926517571885
C186468114,C2776175482,0.0670926517571885
C186468114,C168090291,0.16613418530351437
C186468114,C97744766,0.1182108626198083
C186468114,C75553542,0.08306709265175719
C186468114,C106301342,0.10223642172523961
C186468114,C52622258,0.10223642172523961
C186468114,C24495805,0.11501597444089456
C186468114,C184049767,0.14057507987220447
C186468114,C77553402,0.08306709265175719
C186468114,C111472728,0.12140575079872204
C186468114,C63540848,0.038338658146964855
C186468114,C120314980,0.038338658146964855
C186468114,C99498987,0.19808306709265175
C186468114,C115961682,0.19808306709265175
C186468114,C114671716,0.051118210862619806
C186468114,C2776303644,0.07028753993610223
C186468114,C206345919,0.07028753993610223
C186468114,C9390403,0.0926517571884984
C186468114,C104434177,0.21405750798722045
C186468114,C205049153,0.038338658146964855
C186468114,C138622882,0.038338658146964855
C186468114,C185592680,0.16932907348242812
C186468114,C147789679,0.038338658146964855
C186468114,C18480692,0.04792332268370607
C186468114,C207579572,0.04792332268370607
C186468114,C44280652,0.08945686900958466
C186468114,C198377831,0.04472843450479233
C186468114,C2780009758,0.13099041533546327
C186468114,C55795843,0.051118210862619806
C186468114,C2778496695,0.04792332268370607
C186468114,C113494165,0.04792332268370607
C186468114,C2780801425,0.04792332268370607
C186468114,C144237770,0.04792332268370607
C186468114,C147323434,0.08626198083067092
C186468114,C177142836,0.04792332268370607
C186468114,C2524010,0.08306709265175719
C186468114,C57528182,0.054313099041533544
C186468114,C171250308,0.054313099041533544
C186468114,C192562407,0.054313099041533544
C186468114,C131017901,0.08306709265175719
C186468114,C45483111,0.06070287539936102
C186468114,C101973423,0.06070287539936102
C186468114,C64775481,0.06070287539936102
C186468114,C76790566,0.07348242811501597
C186468114,C62850752,0.07348242811501597
C186468114,C150724011,0.07348242811501597
C186468114,C155194400,0.07348242811501597
C186468114,C29169072,0.07348242811501597
C186468114,C169345407,0.04472843450479233
C186468114,C32891209,0.07667731629392971
C186468114,C78203541,0.08626198083067092
C186468114,C125112378,0.05750798722044728
C186468114,C128108043,0.05750798722044728
C186468114,C165330911,0.04153354632587859
C186468114,C2776261394,0.054313099041533544
C186468114,C199539241,0.10543130990415335
C186468114,C17744445,0.10543130990415335
C186468114,C2776646148,0.05750798722044728
C186468114,C521332185,0.05750798722044728
C186468114,C204530211,0.05750798722044728
C186468114,C117251300,0.05750798722044728
C186468114,C89394759,0.05750798722044728
C186468114,C153385146,0.05750798722044728
C186468114,C153294291,0.05750798722044728
C186468114,C103088060,0.07667731629392971
C186468114,C17020691,0.07667731629392971
C186468114,C2776760102,0.07667731629392971
C186468114,C55493867,0.07667731629392971
C186468114,C158448853,0.07667731629392971
C186468114,C86339819,0.07667731629392971
C186468114,C104317684,0.07667731629392971
C186468114,C48983235,0.03514376996805112
C186468114,C2778204307,0.051118210862619806
C186468114,C190269828,0.08306709265175719
C186468114,C169268690,0.051118210862619806
C186468114,C2985428132,0.04153354632587859
C186468114,C101722063,0.04153354632587859
C186468114,C2994168587,0.04153354632587859
C186468114,C166689943,0.05750798722044728
C186468114,C12296473,0.05750798722044728
C186468114,C114852677,0.05750798722044728
C186468114,C184551789,0.05750798722044728
C186468114,C23576306,0.05750798722044728
C186468114,C2776809875,0.054313099041533544
C186468114,C71799126,0.0670926517571885
C186468114,C206003972,0.038338658146964855
C186468114,C32270708,0.0670926517571885
C186468114,C31872934,0.054313099041533544
C186468114,C2776921476,0.054313099041533544
C186468114,C131538251,0.054313099041533544
C186468114,C197657726,0.054313099041533544
C186468114,C132525143,0.08306709265175719
C186468114,C178790620,0.08945686900958466
C186468114,C131935069,0.05750798722044728
C186468114,C2776257435,0.05750798722044728
C186468114,C179371143,0.0670926517571885
C186468114,C67820243,0.0670926517571885
C186468114,C130787639,0.0670926517571885
C186468114,C126255220,0.0670926517571885
C186468114,C2780586882,0.07667731629392971
C186468114,C166733315,0.04792332268370607
C186468114,C98045186,0.06070287539936102
C186468114,C180137035,0.07028753993610223
C186468114,C149862233,0.07028753993610223
C186468114,C155675718,0.05750798722044728
C186468114,C178596936,0.04792332268370607
C186468114,C151077058,0.04472843450479233
C186468114,C194800363,0.04472843450479233
C186468114,C62641251,0.051118210862619806
C186468114,C36503486,0.051118210862619806
C186468114,C159149176,0.051118210862619806
C186468114,C547195049,0.051118210862619806
C186468114,C101645829,0.051118210862619806
C186468114,C138777275,0.051118210862619806
C186468114,C93038891,0.051118210862619806
C186468114,C198082294,0.051118210862619806
C186468114,C194232370,0.051118210862619806
C186468114,C10138342,0.051118210862619806
C186468114,C162324750,0.051118210862619806
C186468114,C78854221,0.04792332268370607
C186468114,C135402231,0.04792332268370607
C186468114,C158622935,0.04792332268370607
C186468114,C3079626,0.04792332268370607
C186468114,C109546105,0.02875399361022364
C186468114,C506630978,0.05750798722044728
C186468114,C185544564,0.05750798722044728
C186468114,C204030448,0.054313099041533544
C190463098,C121040770,0.34439834024896265
C190463098,C91717678,0.4375
C190463098,C95013731,0.264
C190463098,C187486625,0.3333333333333333
C190463098,C89143813,0.46405228758169936
C190463098,C5320026,0.3433734939759036
C190463098,C121332964,0.3450479233226837
C190463098,C41008148,0.3420074349442379
C190463098,C169699857,0.41630901287553645
C190463098,C84114770,0.3450479233226837
C190463098,C58053490,0.46774193548387094
C190463098,C62520636,0.3450479233226837
C190463098,C190474826,0.782608695652174
C190463098,C158456648,0.3333333333333333
C190463098,C19271316,0.3813559322033898
C190463098,C169460222,0.2231404958677686
C190463098,C51003876,0.422360248447205
C190463098,C203087015,0.5323741007194245
C190463098,C20593774,0.33088235294117646
C190463098,C124148022,0.3442622950819672
C190463098,C48103436,0.28205128205128205
C190463098,C11413529,0.3709677419354839
C190463098,C22984246,0.3782051282051282
C190463098,C41241483,0.2573099415204678
C190463098,C33332235,0.21008403361344538
C190463098,C139356082,0.2789115646258503
C190463098,C121864883,0.30344827586206896
C190463098,C48044578,0.23728813559322035
C190463098,C159317903,0.40331491712707185
